	FID	Longitude	Latitude	Easting	Northing	Elevation	v1_lat	v1_long	v2_lat	v2_long	Width	peak_lat	peak_long	peak_east	peak_north	peak_elev	noVentInt	noVent	FID2017	Orientation	Length	AspectRatio	EquantInt	Equant	Prominence	clusterID	clusterName
20	20	-127.404001	16.947243	-7551833.642999999	1004542.69	1090	16.944566000000002	-127.429105	16.938498000000003	-127.39103300000001	249.329089	16.934394	-127.387821	-7550874.558999999	1003781.064	1096	0	Vent	20	-80.54622904732838	2184.5406785448504	8.761675933227552	0	NotEquant	1.0	0.0	0.0
21	21	-117.63506100000001	16.292572	-6972782.6389999995	965737.2794	2135	16.189601	-117.669503	16.385014	-117.61953500000001	564.51982	16.276106	-117.62858899999999	-6972399.006	964761.2699	2182	0	Vent	21	13.783216673583954	11905.098959894047	21.088894558022865	0	NotEquant	19.0	1.0	1.0
22	22	-116.42269099999999	17.89499	-6900919.783	1060720.107	2369	17.816007	-116.48562199999999	17.950209	-116.364745	359.172377	17.878357	-116.455527	-6902866.16	1059734.225	2395	0	Vent	22	40.584361782478176	10458.222445239826	29.11755779381616	0	NotEquant	184.0	1.0	1.0
23	23	-115.05055800000001	17.149720000000002	-6819587.027000001	1016544.448	2276	17.115717	-115.11497800000001	17.213573	-114.927001	596.141627	17.160356	-115.066548	-6820534.828	1017174.905	2284	0	Vent	23	61.388918172192845	12101.514260206503	20.299730319296263	0	NotEquant	1.0	1.0	1.0
24	24	-110.19897900000001	30.666667999999998	-6532011.167	1817757.483	3378	30.636776	-110.22307099999999	30.661677	-110.20845	268.53564700000004	30.63583	-110.215398	-6532984.356000001	1815929.58	3382	0	Vent	24	26.796474892469234	1650.6106430030948	6.146709613577278	0	NotEquant	1.0	2.0	2.0
25	25	-112.00416799999999	29.657293	-6639013.182999999	1757927.051	3189	29.636853000000002	-112.00679	29.674544	-112.00393500000001	353.238697	29.644915	-112.012049	-6639480.313999999	1757193.351	3192	0	Vent	25	3.7653945357352385	2234.876849446591	6.3268177253144815	0	NotEquant	14.0	2.0	2.0
26	26	-111.96771399999999	30.040554999999998	-6636852.368	1780644.811	3052	29.966078999999997	-111.956744	30.088026	-111.936816	114.799733	29.981091999999997	-111.957149	-6636226.142000001	1777120.176	3056	0	Vent	26	8.047954505300224	7287.054067908938	63.47622836290863	0	NotEquant	2.0	2.0	2.0
27	27	-109.238413	28.758111	-6475073.887	1704628.352	3550	28.741846000000002	-109.24089599999999	28.762665999999996	-109.242085	537.626597	28.746903999999997	-109.24583700000001	-6475513.937000001	1703964.045	3585	0	Vent	27	-2.8659777497605994	1233.3929023764997	2.294144131370978	0	NotEquant	82.0	2.0	2.0
28	28	-109.539401	28.071327	-6492914.839	1663919.438	3558	28.061202	-109.54479199999999	28.069494	-109.542832	277.103232	28.066259000000002	-109.54371200000001	-6493170.407000001	1663619.019	3564	0	Vent	28	11.781248543219263	501.168260655737	1.8085976732878273	0	NotEquant	4.0	2.0	2.0
29	29	-109.05965	27.857643	-6464477.741	1651253.3469999998	3481	27.849293	-109.06488999999999	27.855003000000004	-109.06828	321.62486	27.854859	-109.073926	-6465323.992000001	1651088.3280000002	3484	0	Vent	29		381.55773604438565	1.1863440408318735	1	Equant	7.0	2.0	2.0
