	FID	Longitude	Latitude	Easting	Northing	Elevation	v1_lat	v1_long	v2_lat	v2_long	Width	peak_lat	peak_long	peak_east	peak_north	peak_elev	noVentInt	noVent	FID2017	Orientation	Length	AspectRatio	EquantInt	Equant	Prominence	clusterID	clusterName
90	90	-106.244968	3.110315	-6297638.323	184362.9603	5833	3.1183009999999998	-106.25018600000001	3.094316	-106.248663	227.42312	3.120391	-106.245282	-6297656.94	184960.2442	5836	0	Vent	92	-3.628007830653047	1421.9620468931598	6.252495554951316	0	NotEquant	1.0	3.0	3.0
91	91	-106.273699	2.604146	-6299341.365	154359.9874	5769	2.551513	-106.28626299999999	2.621564	-106.272557	163.572044	2.605645	-106.27041499999999	-6299146.727000001	154448.8438	5773	0	Vent	93	11.05918475348017	4223.113238484528	25.818062397536146	0	NotEquant	8.0	3.0	3.0
92	92	-106.55491699999999	3.02818	-6316010.462	179494.4564	5787	2.996676	-106.580044	3.040458	-106.54406599999999	291.959998	3.0884419999999997	-106.502692	-6312914.875	183066.4818	5807	0	Vent	94	39.37180409632916	3350.991251522061	11.477569785166462	0	NotEquant	1.0	3.0	3.0
93	93	-106.442251	2.642258	-6309332.232000001	156619.0293	5743	2.638736	-106.44948500000001	2.737125	-106.35758200000001	240.18558399999998	2.699293	-106.39413799999998	-6306480.366	159999.802	5760	0	Vent	95	43.014252665588316	7961.814652226187	33.14859501403792	0	NotEquant	7.0	3.0	3.0
94	94	-106.56248400000001	2.290808	-6316458.999	135786.941	5666	2.233493	-106.61246200000001	2.349194	-106.52546299999999	111.503358	2.346463	-106.52545900000001	-6314264.387999999	139085.9094	5673	0	Vent	96	36.916846524803766	8562.51094418046	76.79150742868622	0	NotEquant	1.0	3.0	3.0
95	95	-105.88821499999999	2.072639	-6276491.931	122855.0481	5660	2.0855029999999997	-105.892379	2.057396	-105.896395	192.48463999999998	2.058434	-105.893498	-6276805.044	122013.0284	5670	0	Vent	97	8.126359235211623	1679.8650347200246	8.727267976915066	0	NotEquant	56.0	3.0	3.0
96	96	-107.88261399999999	0.306465	-6394709.324	18165.64131	5678	0.28319099999999997	-107.89912199999999	0.311745	-107.87755800000001	166.435337	0.30054000000000003	-107.879473	-6394523.149	17814.44715	5681	0	Vent	98	37.059700349731635	2117.0791181070276	12.72012996919655	0	NotEquant	26.0	3.0	3.0
97	97	-107.272057	1.4227459999999998	-6358518.73	84332.86391	5543	1.370422	-107.314136	1.476308	-107.23487	235.691831	1.471216	-107.230369	-6356047.677	87205.88601	5559	0	Vent	99	36.808977514965854	7825.015289837693	33.20019729422736	0	NotEquant	1.0	3.0	3.0
98	98	-107.116748	1.838197	-6349312.856000001	108958.5781	5576	1.8092720000000002	-107.10946100000001	1.8950810000000002	-107.10961	267.97947999999997	1.7935169999999998	-107.130472	-6350126.313999999	106310.1651	5583	0	Vent	100	-0.09943475035586456	5077.039714857864	18.945628653574015	0	NotEquant	14.0	3.0	3.0
99	99	-107.015798	1.681918	-6343329.0370000005	99695.16689	5584	1.660577	-107.027992	1.701771	-106.98798799999999	125.558921	1.7150040000000002	-106.972682	-6340773.359	101656.3536	5599	0	Vent	101	44.14744621032821	3396.7477780446748	27.053018224365555	0	NotEquant	1.0	3.0	3.0
100	100	-107.48220900000001	3.8017730000000003	-6370975.429	225348.9601	5642	3.842745	-107.472394	3.7572330000000003	-107.50109599999999	391.692745	3.8166919999999998	-107.47231000000001	-6370388.695	226233.2924	5650	0	Vent	102	18.517210793150866	5335.667942006692	13.622074981262909	0	NotEquant	24.0	3.0	3.0
101	101	-107.139451	2.786982	-6350658.575	165197.5208	5590	2.7626939999999998	-107.17310900000001	2.809431	-107.101497	237.059391	2.824678	-107.089549	-6347700.646000001	167431.9055	5596	0	Vent	103	56.83708640554266	5055.378108175569	21.325365288631694	0	NotEquant	2.0	3.0	3.0
102	102	-107.181451	4.823519999999999	-6353148.072000001	285912.6791	5859	4.868624	-107.190647	4.756314	-107.18565	433.00071900000006	4.839296	-107.18316399999999	-6353249.622	286847.7864	5875	0	Vent	104	-2.5388170490043365	6651.535562819969	15.361488494017877	0	NotEquant	23.0	3.0	3.0
103	103	-105.55573799999999	5.1273	-6256784.445	303919.1638	6369	5.109573	-105.564066	5.158114	-105.55383400000001	141.74528600000002	5.121518	-105.58871699999999	-6258739.284	303576.4321	6386	0	Vent	105	11.856318081271219	2934.621207438516	20.703483623705946	0	NotEquant	14.0	3.0	3.0
104	104	-105.478812	5.327593	-6252224.698	315791.4831	6392	5.2986830000000005	-105.48999599999999	5.35698	-105.472626	243.16937000000001	5.362757	-105.473444	-6251906.507999999	317875.7993	6401	0	Vent	106	16.523224317090403	3597.8272038831806	14.795560822003118	0	NotEquant	1.0	3.0	3.0
105	105	-105.439531	5.271127	-6249896.317000001	312444.435	6330	5.2355540000000005	-105.46998799999999	5.278146	-105.435248	656.905263	5.253352	-105.46423	-6251360.331	311390.8525	6371	0	Vent	107	39.08244909025111	3246.527690956893	4.942155092700015	0	NotEquant	1.0	3.0	3.0
106	106	-105.72135800000001	5.436927	-6266601.496	322272.1844	6405	5.427987	-105.732295	5.441857	-105.713149	174.173813	5.447706	-105.70779499999999	-6265797.557	322911.1039	6410	0	Vent	108	53.955533450710696	1394.6998355048634	8.007517384400739	0	NotEquant	1.0	3.0	3.0
107	107	-105.474092	5.503776	-6251944.879	326234.6396	6439	5.496464	-105.480122	5.505962	-105.471378	458.76552300000003	5.49728	-105.47452	-6251970.267000001	325849.5954	6440	0	Vent	109	42.5009355929785	762.2330148017166	1.6614871357752763	0	NotEquant	5.0	3.0	3.0
108	108	-105.34825500000001	5.880387000000001	-6244485.96	348558.1489	6537	5.886643	-105.35247700000001	5.848048	-105.352024	218.61483900000002	5.908298	-105.341117	-6244062.834	350212.5696	6545	0	Vent	110	-0.6689658539334857	2283.6929511494122	10.446193687471563	0	NotEquant	1.0	3.0	3.0
109	109	-104.90883999999998	5.058825	-6218439.775	299860.3265	6085	5.027693	-104.90838799999999	5.07669	-104.907936	493.696779	5.0581830000000005	-104.924545	-6219370.651000001	299822.2452	6103	0	Vent	111	0.5264684899072319	2899.1113156283536	5.872250820636514	0	NotEquant	1.0	3.0	3.0
110	110	-105.19981999999999	5.005895	-6235687.509	296722.9341	6193	5.01969	-105.19906599999999	4.953204	-105.192734	105.781374	5.026383	-105.20524499999999	-6236009.085	297937.3043	6201	0	Vent	112	-5.4201402688104565	3951.4203703563735	37.35459486805658	0	NotEquant	1.0	3.0	3.0
111	111	-105.059118	5.675287	-6227347.47	336400.9474	6336	5.642346	-105.071179	5.69843	-105.056706	297.611633	5.683639	-105.072253	-6228126.021000001	336896.0042	6344	0	Vent	113	14.401448319743453	3425.9682994757727	11.511540274622844	0	NotEquant	1.0	3.0	3.0
112	112	-105.09535600000001	6.109996	-6229495.415	362168.1363	6496	6.109468	-105.109678	6.100573000000001	-105.08208799999998	281.023858	6.097218	-105.113344	-6230561.691000001	361410.7417	6504	0	Vent	114	-72.03678777806167	1706.339666825181	6.071867630630781	0	NotEquant	1.0	3.0	3.0
113	113	-105.19894	6.259823	-6235635.351	371049.11600000004	6603	6.242711	-105.206026	6.26819	-105.199845	251.71126800000002	6.269174	-105.215073	-6236591.615	371603.4104	6615	0	Vent	115	13.55754878072388	1550.7204028160838	6.1607111002121835	0	NotEquant	1.0	3.0	3.0
114	114	-105.442903	4.825851999999999	-6250096.201	286050.9096	6252	4.82653	-105.44923500000002	4.814771	-105.443959	234.422386	4.832693	-105.450042	-6250519.3270000005	286456.4049	6254	0	Vent	116	-24.089185327721566	762.1108649773681	3.2510157326756675	0	NotEquant	1.0	3.0	3.0
115	115	-105.45030200000001	4.508379	-6250534.759	267232.7799	6140	4.498805	-105.456483	4.510715	-105.450754	561.516564	4.511876	-105.464008	-6251347.16	267440.1113	6147	0	Vent	117		781.5086705324042	1.391782042839976	1	Equant	1.0	3.0	3.0
116	116	-105.13888200000001	4.381524	-6232075.45	259713.5017	6009	4.374966000000001	-105.147627	4.386876	-105.14069199999999	192.48463999999998	4.3860209999999995	-105.137597	-6231999.2870000005	259980.0708	6021	0	Vent	118	30.138435857712906	814.8297573043127	4.233219634066971	0	NotEquant	12.0	3.0	3.0
117	117	-105.21690500000001	4.499366	-6236700.244	266698.5363	6115	4.505622	-105.221278	4.485571	-105.21765900000001	253.188748	4.488215	-105.214321	-6236547.073	266037.6143	6116	0	Vent	119	-10.200477656904383	1205.4026392147987	4.760885500388819	0	NotEquant	11.0	3.0	3.0
118	118	-105.22981999999999	4.534341	-6237465.727999999	268771.7201	6123	4.532306	-105.225749	4.535623	-105.22650300000001	109.477901	4.535126999999999	-105.222824	-6237051.065	268818.2639	6131	0	Vent	120	-12.767715511446564	201.23148227135212	1.8381013924568403	0	NotEquant	26.0	3.0	3.0
119	119	-105.251258	4.5521080000000005	-6238736.467999999	269824.8109	6107	4.530435	-105.259423	4.561395	-105.252076	138.551616	4.543328	-105.245833	-6238414.892999999	269304.3666	6113	0	Vent	121	13.308916442531176	1882.3563754827424	13.585957564599914	0	NotEquant	1.0	3.0	3.0
120	120	-105.403782	4.7450209999999995	-6247777.325	281259.6623	6285	4.738036	-105.405652	4.753741000000001	-105.403749	581.7441269999999	4.751612000000001	-105.386798	-6246770.569	281650.3481	6302	0	Vent	122	6.8854005009535655	935.9628122835178	1.608890866007003	0	NotEquant	31.0	3.0	3.0
121	121	-105.39046499999999	4.793449	-6246987.921	284130.2244	6313	4.796423	-105.401648	4.795471	-105.36048400000001	282.083663	4.7863940000000005	-105.393106	-6247144.477000001	283712.0354	6314	0	Vent	123	-88.67222409502523	2427.6626346560397	8.606179488870433	0	NotEquant	62.0	3.0	3.0
122	122	-105.393429	4.242546	-6247163.654	251475.65399999998	6078	4.237431	-105.398426	4.245997	-105.396047	147.251995	4.246758	-105.39314399999999	-6247146.728999999	251725.2981	6078	0	Vent	124	15.48079025604139	525.9015489119071	3.571439211481699	0	NotEquant	2.0	3.0	3.0
123	123	-105.046673	3.066751	-6226609.767000001	181780.7586	5681	3.047359	-105.063805	3.078292	-105.04024799999999	439.272287	3.043266	-105.043104	-6226398.204	180388.6757	5684	0	Vent	125	37.2509559323057	2299.2917363667943	5.23432004342854	0	NotEquant	20.0	3.0	3.0
124	124	-104.341178	3.580797	-6184791.7870000005	212250.6536	5662	3.5602150000000004	-104.353314	3.59091	-104.34141600000001	249.22933700000002	3.567448	-104.347317	-6185155.675	211459.4089	5666	0	Vent	126	21.149368965504863	1947.288756853648	7.813240528957664	0	NotEquant	74.0	3.0	3.0
125	125	-113.84358700000001	25.740342000000002	-6748044.186000001	1525750.9840000002	2684	25.731895	-113.847394	25.736892	-113.841921	125.558921	25.722853	-113.856151	-6748788.887	1524714.3269999998	2692	0	Vent	127	44.613094613753695	415.33384404104635	3.3078800035327345	0	NotEquant	13.0	2.0	2.0
126	126	-109.23708500000001	26.797967	-6474995.165	1588441.382	3625	26.855431	-109.229946	26.81498	-109.240178	87.229555	26.799322999999998	-109.239226	-6475122.102000001	1588521.775	3625	0	Vent	128	12.72128112732213	2453.556745490093	28.12758526040965	0	NotEquant	1.0	2.0	2.0
127	127	-109.39488	26.969640999999996	-6484348.448	1598617.325	3696	26.955008000000003	-109.39702199999999	26.977137	-109.406302	394.728187	26.956863000000002	-109.40273300000001	-6484813.886	1597859.93	3707	0	Vent	129	-20.491852780097197	1397.764815544415	3.5410818420839423	0	NotEquant	112.0	2.0	2.0
128	128	-109.223206	27.145539000000003	-6474172.505	1609043.642	3637	27.145658	-109.227251	27.136378999999998	-109.227727	162.810177	27.145360999999998	-109.22381299999999	-6474208.471	1609033.064	3637	0	Vent	130	2.6138438394818877	549.5791990771808	3.3755825907441936	0	NotEquant	42.0	2.0	2.0
129	129	-108.530627	-0.619637	-6433120.1	-36728.80331	5894	-0.616434	-108.530298	-0.62744	-108.54250900000001	303.567765	-0.628679	-108.558146	-6434751.249	-37264.76227	5898	0	Vent	131	47.96933325020808	972.6088384318743	3.2039266041039447	0	NotEquant	4.0	3.0	3.0
130	130	-108.46846599999999	-0.45688900000000005	-6429435.511	-27081.93533	5933	-0.46766800000000003	-108.481733	-0.44731499999999996	-108.45926899999999	491.222599	-0.47252200000000005	-108.49559199999999	-6431043.387999999	-28008.58016	5940	0	Vent	132	47.82174091298204	1793.4855964263784	3.6510649145162364	0	NotEquant	46.0	3.0	3.0
131	131	-108.447129	-0.942889	-6428170.748	-55889.43955	5902	-0.9592459999999999	-108.464165	-0.93422	-108.437028	154.664443	-0.988503	-108.504378	-6431564.214	-58593.211460000006	5910	0	Vent	133	47.31378206839623	2183.976359730637	14.120739824670864	0	NotEquant	4.0	3.0	3.0
132	132	-108.119666	-3.0711459999999997	-6408760.482999999	-182041.2511	6187	-3.054465	-108.286693	-3.0851599999999997	-107.944051	502.087129	-3.0736470000000002	-108.175155	-6412049.578	-182189.5213	6203	0	Vent	134	-84.86444320156794	20325.192394411373	40.481404960315906	0	NotEquant	1.0	3.0	3.0
133	133	-108.290121	-4.787497	-6418864.154	-283777.458	6488	-4.764678	-108.291653	-4.817978	-108.28898799999999	326.306914	-4.77046	-108.290704	-6418898.709	-282767.5984	6489	0	Vent	135	-2.8523079395021114	3157.4951153760217	9.676457898700919	0	NotEquant	1.0	3.0	3.0
134	134	-108.419968	-3.4273540000000002	-6426560.788	-203155.3658	6358	-3.437157	-108.431389	-3.428401	-108.409117	269.92105	-3.4408449999999995	-108.43296000000001	-6427330.876	-203955.073	6358	0	Vent	136	68.50386351760324	1413.7378936586963	5.2375977851994	0	NotEquant	29.0	3.0	3.0
135	135	-109.028396	-2.413623	-6462625.217999999	-143066.7752	6285	-2.425711	-109.04077	-2.421713	-109.027254	196.70153200000001	-2.424747	-109.026076	-6462487.7020000005	-143726.1458	6289	0	Vent	137	73.50824357826404	833.2623024243045	4.2361759664602125	0	NotEquant	7.0	3.0	3.0
136	136	-108.984875	-2.043693	-6460045.511	-121139.2651	6175	-2.06092	-109.003149	-2.045311	-108.97764199999999	209.31767299999998	-2.0583259999999997	-108.988444	-6460257.074	-122006.6723	6181	0	Vent	138	58.51953998652518	1768.4922808926146	8.448843595221005	0	NotEquant	21.0	3.0	3.0
137	137	-109.007433	-1.22645	-6461382.622	-72697.48118	6142	-1.227878	-109.013144	-1.251482	-109.007623	152.233734	-1.2452239999999999	-109.011573	-6461628.035	-73810.30122000001	6180	0	Vent	139	-13.161832084106322	1434.2467290427608	9.421346316334596	0	NotEquant	86.0	3.0	3.0
138	138	-109.254944	-0.995432	-6476053.78	-59003.90677	6152	-1.006567	-109.26293899999999	-0.9985719999999999	-109.25418300000001	144.696821	-1.003641	-109.26165400000001	-6476451.517000001	-59490.50109	6159	0	Vent	140	47.596874534969366	701.4783256064148	4.847918017538304	0	NotEquant	89.0	3.0	3.0
139	139	-109.46304599999999	0.21916100000000002	-6488388.931	12990.67685	5783	0.16777999999999998	-109.528003	0.22108000000000003	-109.440201	372.160728	0.22351500000000002	-109.409651	-6485223.9520000005	13248.78341	5814	0	Vent	141	58.73996372298378	6077.194391188837	16.329488669714866	0	NotEquant	5.0	3.0	3.0
140	140	-109.75831799999999	0.964087	-6505891.072000001	57145.98851	5826	0.950168	-109.779971	0.9665860000000001	-109.74689599999999	527.022955	0.9568780000000001	-109.77759099999999	-6507033.511	56718.631760000004	5836	0	Vent	142	63.5973274706164	2184.5244083557936	4.145027057418767	0	NotEquant	20.0	3.0	3.0
141	141	-109.90835600000001	-0.30649	-6514784.558999999	-18167.11819	5879	-0.31898200000000004	-109.916446	-0.30089899999999997	-109.905501	293.912361	-0.324408	-109.924774	-6515757.748	-19229.16318	5887	0	Vent	143	31.184694114381028	1250.6220164055105	4.255084788371696	0	NotEquant	4.0	3.0	3.0
142	142	-109.96330900000001	-0.355998	-6518041.897000001	-21101.65709	5893	-0.36087600000000003	-109.97972800000001	-0.354213	-109.954029	264.335873	-0.354817	-109.97203	-6518558.8379999995	-21031.67779	5899	0	Vent	144	75.46473533397791	1570.7700690246677	5.942326522683767	0	NotEquant	3.0	3.0	3.0
143	143	-109.88508799999998	-0.817407	-6513405.326	-48451.559610000004	5987	-0.830851	-109.90222	-0.8184779999999999	-109.874618	209.673756	-0.824902	-109.895081	-6513997.701	-48895.84137	5990	0	Vent	145	65.85297818307079	1789.5384107744007	8.534870767395423	0	NotEquant	2.0	3.0	3.0
144	144	-110.03856100000002	-1.0193969999999999	-6522502.396000001	-60424.4783	6002	-1.024989	-110.06235500000001	-1.026417	-110.02713899999999	544.154667	-1.011731	-110.058006	-6523654.99	-59970.041520000006	6092	0	Vent	146	-87.67725575368057	2084.9918839953043	3.831616285660386	0	NotEquant	6.0	3.0	3.0
145	145	-110.89046599999999	-5.443565	-6572998.815	-322665.6595	6903	-5.439163	-110.92806100000001	-5.453202	-110.84168700000001	277.282645	-5.449061	-110.870193	-6571797.1389999995	-322991.4662	6922	0	Vent	147	-80.72279393316288	5154.756674297398	18.59026075828654	0	NotEquant	57.0	3.0	3.0
146	146	-111.03730300000001	-5.429341	-6581702.543	-321822.518	6911	-5.424701	-111.066332	-5.428984	-111.020647	247.72824300000002	-5.432837999999999	-111.04315600000001	-6582049.506	-322029.8495	6922	0	Vent	148	-84.61800292076163	2702.8191919637607	10.910420060435985	0	NotEquant	55.0	3.0	3.0
147	147	-110.88457700000001	-2.7823580000000003	-6572649.739	-164923.4419	6683	-2.784416	-110.88600100000001	-2.781789	-110.880518	51.340002	-2.791778	-110.878552	-6572292.622	-165481.7983	6686	0	Vent	149	64.3738881298007	359.37861722022717	6.9999727935387925	0	NotEquant	5.0	3.0	3.0
148	148	-110.335751	-2.271816	-6540118.275	-134661.2348	6436	-2.270452	-110.35149799999999	-2.284134	-110.33157	352.604578	-2.269853	-110.339463	-6540338.3	-134544.8753	6441	0	Vent	150	-55.50608930616461	1429.4538986328384	4.05398564800494	0	NotEquant	3.0	3.0	3.0
149	149	-110.20236100000001	-2.11145	-6532211.616	-125155.537	6328	-2.113903	-110.223776	-2.115837	-110.191802	877.2983310000001	-2.121943	-110.2085	-6532575.504	-125777.5315	6390	0	Vent	151	-86.53564425297819	1893.9661286594614	2.1588621130745786	0	NotEquant	33.0	3.0	3.0
150	150	-109.56239599999999	-2.506866	-6494277.908	-148593.751	6400	-2.521069	-109.56879099999999	-2.505008	-109.56195	491.12134800000007	-2.5277819999999998	-109.572676	-6494887.209	-149833.5087	6408	0	Vent	152	23.051308168422466	1032.7337464970765	2.1028076883700773	0	NotEquant	60.0	3.0	3.0
151	151	-109.27311200000001	-2.494631	-6477130.68	-147868.4906	6360	-2.5030330000000003	-109.28724	-2.492772	-109.270882	593.046939	-2.504696	-109.26140500000001	-6476436.754	-148465.0976	6418	0	Vent	153	57.876722937899906	1141.7234469019713	1.9251822609980143	0	NotEquant	77.0	3.0	3.0
152	152	-110.401299	-4.263287999999999	-6544003.624	-252705.0874	6724	-4.262544	-110.407306	-4.264031	-110.40061299999999	147.251995	-4.270355	-110.347619	-6540821.72	-253123.9816	6744	0	Vent	154	-77.4400078931733	404.5886062830672	2.747593377482371	0	NotEquant	22.0	3.0	3.0
153	153	-112.58073799999998	-4.96007	-6673189.17	-294006.6615	7368	-4.975611	-112.589809	-4.95256	-112.578061	521.330371	-4.97242	-112.58958899999999	-6673713.846	-294738.6686	7375	0	Vent	155	26.919275369637315	1529.5820129788501	2.9339975149440316	0	NotEquant	127.0	3.0	3.0
154	154	-109.88333899999999	-7.294592999999999	-6513301.656	-432384.799	7119	-7.3141490000000005	-109.887056	-7.291396000000001	-109.889436	457.95177199999995	-7.301089	-109.85621299999998	-6511693.779	-432769.8432	7135	0	Vent	156	-5.923571722317982	1353.4454818065158	2.95543235021376	0	NotEquant	142.0	3.0	3.0
155	155	-110.02168400000001	-6.872641000000001	-6521502.017999999	-407373.6963	6903	-6.867361	-110.03298600000001	-6.892048	-110.021386	436.14777599999996	-6.885989	-110.011404	-6520892.717	-408164.9409	6907	0	Vent	157	-25.008342758766304	1611.764626242776	3.695455336318799	0	NotEquant	12.0	3.0	3.0
156	156	-106.72931499999999	-3.652715	-6326347.837	-216513.6016	6144	-3.649369	-106.734371	-3.6585900000000002	-106.73258600000001	410.356597	-3.659211	-106.73688100000001	-6326796.35	-216898.6458	6146	0	Vent	158		555.6632383266289	1.3540984655514843	1	Equant	6.0	3.0	3.0
157	157	-106.775719	-3.5332480000000004	-6329098.451	-209432.2349	6117	-3.5099739999999997	-106.798175	-3.58463	-106.765755	476.264245	-3.5040519999999997	-106.80827	-6331027.903	-207701.6516	6139	0	Vent	159	-23.432183553474005	4814.200025216759	10.10825413781956	0	NotEquant	10.0	3.0	3.0
158	158	-106.43410300000001	-3.082039	-6308849.254	-182686.9078	5885	-3.089775	-106.44158600000002	-3.079686	-106.425977	767.642114	-3.091913	-106.432247	-6308739.241	-183272.2314	5890	0	Vent	160		1098.5311156487758	1.4310459205066175	1	Equant	1.0	3.0	3.0
159	159	-109.66280800000001	-4.0861339999999995	-6500229.772999999	-242204.3581	6541	-4.087562	-109.683105	-4.096627	-109.645771	256.700008	-4.0892040000000005	-109.691076	-6501905.35	-242386.3021	6550	0	Vent	161	-76.3173265806741	2267.638316507016	8.833806956901286	0	NotEquant	1.0	3.0	3.0
160	160	-109.776908	-4.2142290000000004	-6506992.989	-249797.1579	6600	-4.227733	-109.81877	-4.213598999999999	-109.75481	120.71236299999998	-4.222153	-109.76905500000001	-6506527.551	-250266.8272	6604	0	Vent	162	77.50846426145758	3865.5770537562057	32.023041863211695	0	NotEquant	1.0	3.0	3.0
161	161	-109.74538999999999	-4.950949	-6505124.802	-293466.0222	6661	-4.953779	-109.787327	-4.95435	-109.71708500000001	331.448304	-4.956303	-109.72226200000001	-6503753.876	-293783.3663	6674	0	Vent	163	-89.52947134170564	4140.596766674016	12.492436125646961	0	NotEquant	18.0	3.0	3.0
162	162	-109.60427800000001	-5.174078	-6496760.421	-306691.9349	6755	-5.168653	-109.619506	-5.1932089999999995	-109.598377	274.307326	-5.175851000000001	-109.60599099999999	-6496861.971	-306797.0111	6755	0	Vent	164	-40.59318151300806	1913.3728230961376	6.975288815640811	0	NotEquant	63.0	3.0	3.0
163	163	-109.76222299999999	-5.419413	-6506122.584	-321234.0701	6741	-5.426361	-109.77573899999999	-5.425408999999999	-109.758987	177.567129	-5.426254	-109.76074799999999	-6506035.137999999	-321639.5654	6743	0	Vent	165	86.7336190137483	988.325262894569	5.565924664438141	0	NotEquant	2.0	3.0	3.0
164	164	-109.45421200000001	-5.6973400000000005	-6487865.305	-337708.0802	6808	-5.703930000000001	-109.46278500000001	-5.7065470000000005	-109.45683600000001	335.252606	-5.699552	-109.442422	-6487166.442000001	-337839.2491	6815	0	Vent	166		382.93924362883547	1.1422409155824294	1	Equant	77.0	3.0	3.0
165	165	-108.64272	-3.2734490000000003	-6439764.362000001	-194032.6817	6308	-3.297506	-108.712372	-3.274752	-108.63563400000001	180.75929	-3.269951	-108.629157	-6438960.4229999995	-193825.3502	6317	0	Vent	167	73.46058370238988	4728.56599800149	26.159463217638717	0	NotEquant	13.0	3.0	3.0
166	166	-108.31643100000001	-4.9671129999999994	-6420423.709	-294424.1352	6541	-4.958704	-108.34197900000001	-4.971368	-108.30896200000001	220.37786200000002	-4.972096	-108.306752	-6419849.951	-294719.4768	6550	0	Vent	169	-68.94163478094023	2085.432705698238	9.462986376091795	0	NotEquant	1.0	3.0	3.0
167	167	-109.23492900000001	-5.074114	-6474867.397999999	-300766.5789	6734	-5.091524	-109.253447	-5.07115	-109.232478	224.742203	-5.082823	-109.278093	-6477425.896000001	-301282.792	6744	0	Vent	170	45.7126929853428	1726.358646004096	7.681506290138556	0	NotEquant	97.0	3.0	3.0
168	168	-109.605604	-1.2456049999999999	-6496839.017999999	-73832.87617999999	6059	-1.256982	-109.614676	-1.222034	-109.590732	213.209175	-1.269376	-109.612885	-6497270.606000001	-75241.88407999999	6064	0	Vent	171	34.41030650348224	2506.3276858044833	11.755252492321137	0	NotEquant	1.0	3.0	3.0
169	169	-109.220348	-1.404488	-6474003.092	-83250.61221	6165	-1.408665	-109.214564	-1.394091	-109.207723	745.1248929999999	-1.409985	-109.20678500000001	-6473199.153	-83576.41884	6167	0	Vent	172		952.5148330793337	1.2783290989572855	1	Equant	89.0	3.0	3.0
170	170	-109.189314	-3.297425	-6472163.549	-195453.8902	6392	-3.301961	-109.24493400000001	-3.322335	-109.11912	212.296069	-3.3013510000000004	-109.106651	-6467263.756	-195686.6092	6405	0	Vent	173	-80.78276031473744	7528.6930192142245	35.46317675441379	0	NotEquant	18.0	3.0	3.0
171	171	-109.41223400000001	-3.085482	-6485377.076	-182891.0265	6384	-3.08169	-109.42353600000001	-3.109946	-109.40628500000001	126.213232	-3.089123	-109.41666000000001	-6485639.414	-183106.8205	6388	0	Vent	174	-31.367448500820842	1957.9879397982936	15.513333338918804	0	NotEquant	9.0	3.0	3.0
172	172	-109.192623	-3.8035349999999997	-6472359.682999999	-225453.4015	6433	-3.780707	-109.183402	-3.838112	-109.21032	563.960683	-3.8387269999999996	-109.200047	-6472799.734	-227539.4102	6446	0	Vent	175	25.07295853536354	3749.8383227570607	6.649113024705413	0	NotEquant	1.0	3.0	3.0
173	173	-109.072598	-4.320791000000001	-6465245.23	-256113.5798	6642	-4.3193779999999995	-109.083156	-4.332763	-109.07125900000001	430.49900099999996	-4.339565	-109.12071	-6468097.096	-257226.3998	6666	0	Vent	176	-41.55007210877548	1058.2259232607855	2.458137930175558	0	NotEquant	10.0	3.0	3.0
174	174	-109.031585	-3.305535	-6462814.194	-195934.5708	6361	-3.3048059999999997	-109.066473	-3.309565	-108.973199	167.718991	-3.3083190000000005	-108.96476899999999	-6458853.739	-196099.5897	6372	0	Vent	177	-87.07164966832538	5516.710764968038	32.89258259947461	0	NotEquant	13.0	3.0	3.0
175	175	-107.828783	-0.930527	-6391518.518999999	-55156.69609	5962	-0.9468260000000001	-107.858051	-0.929932	-107.81736200000002	789.4327509999999	-0.933882	-107.78538200000001	-6388945.916	-55355.56507999999	5973	0	Vent	178	67.44947502021918	2606.3958079367026	3.3016058741356966	0	NotEquant	205.0	3.0	3.0
176	176	-107.81021399999999	-1.208704	-6390417.85	-71645.56241	5907	-1.2390649999999999	-107.84336299999998	-1.183386	-107.787446	162.542679	-1.2379	-107.83848200000001	-6392093.427	-73376.14568	5916	0	Vent	179	45.11638680486556	4668.34505768283	28.7207340644535	0	NotEquant	12.0	3.0	3.0
177	177	-108.081607	-1.5543719999999999	-6406504.549	-92134.93672	5953	-1.571326	-108.09862	-1.542891	-108.055195	162.542679	-1.55116	-108.066331	-6405599.06	-91944.53025	5956	0	Vent	180	56.773827182979	3070.337829185979	18.889425522425277	0	NotEquant	12.0	3.0	3.0
178	178	-108.06027399999999	-0.508864	-6405240.034	-30162.73253	5883	-0.513948	-108.066985	-0.49700600000000006	-108.03805	227.491446	-0.504937	-108.04328400000001	-6404232.995	-29930.0135	5886	0	Vent	181	59.64936085104682	1983.8048039410553	8.72034900134687	0	NotEquant	21.0	3.0	3.0
179	179	-129.921277	14.742652	-7701044.376	873866.2198	470	14.740723999999998	-129.94485600000002	14.732157999999998	-129.884894	273.41069100000004	14.730017000000002	-129.880445	-7698624.098999999	873117.2876	483	0	Vent	183	-81.60488296805373	3468.283053078542	12.685250311146543	0	NotEquant	1.0	0.0	0.0
180	180	-128.785943	15.827867999999999	-7633747.83	938192.1097	772	15.827082999999998	-128.81364	15.83465	-128.718271	220.37786200000002	15.83879	-128.71513000000002	-7629550.425	938839.4917	790	0	Vent	184	85.27233500719993	5447.076381662311	24.71698532796507	0	NotEquant	1.0	0.0	0.0
