FID	Longitude	Latitude	Elevation	v1_lat	v1_long	v2_lat	v2_long	Width	peak_east	peak_north	peak_elev	noVentInt	noVent
211	-89.498086	38.809286	844	38.739507	-89.558744	38.918561	-89.363331	1181.8	-5301668.063	2304559.198	883	0	Vent
212	-89.517139	39.358655	680	39.325789	-89.568892	39.422752	-89.370207	641.2	-5307666.909	2332841.229	700	0	Vent
213	-89.485384	39.59047	722	39.573665	-89.507989	39.626906	-89.410728	694.9	-5305750.764	2345278.758	738	0	Vent
214	-89.802938	37.748654	1063	37.73869	-89.82822	37.739285	-89.787472	677.4	-5325149.167	2237298.847	1075	0	Vent
215	-90.006173	39.225283	770	39.175463	-90.108787	39.27302	-89.914267	465.2	-5328485.114	2328230.326	817	0	Vent
216	-85.204748	36.589579	813	36.55939	-85.260368	36.596272	-85.18244	369.6	-5049690.173	2168408.895	827	0	Vent
217	-85.588989	36.773761	1009	36.765284	-85.603266	36.767069	-85.580066	715.2	-5073777.635	2179952.433	1017	0	Vent
218	-87.310135	33.318767	809	33.303152	-87.33036	33.318618	-87.295263	676.2	-5175129.5	1973906.257	841	0	Vent
219	-90.765129	32.905946	1001	32.861182	-90.788626	32.901336	-90.740144	423.5	-5378002.234	1950765.033	1051	0	Vent
220	-91.031875	31.486477	1079	31.441713	-91.090171	31.539569	-90.966142	416.1	-5398476.357	1863706.869	1097	0	Vent
221	-90.085562	31.308646	975	31.290057	-90.103705	31.327831	-90.059388	479	-5339616.718	1855738.619	975	0	Vent
222	-90.174477	33.560109	1342	33.53795	-90.200651	33.574534	-90.160498	368.4	-5346596.571	1987712.413	1359	0	Vent
223	-90.149073	33.477544	1290	33.470555	-90.165729	33.483047	-90.151155	503.2	-5343736.733	1984959.461	1296	0	Vent
224	-91.581244	32.134288	1035	31.810548	-92.000122	32.414455	-91.269151	974.6	-5427037.298	1907174.736	1057	0	Vent
225	-92.562173	33.38294	917	33.355433	-92.590489	33.405402	-92.528623	407	-5489209.749	1976254.511	932	0	Vent
226	-85.136305	35.913182	678	35.903902	-85.154865	35.927221	-85.124408	544.6	-5047841.983	2128603.367	760	0	Vent
227	-83.233969	34.792315	818	34.776848	-83.256335	34.798739	-83.219216	263.2	-4934920.761	2061876.585	827	0	Vent
228	-88.688482	35.118306	1297	35.04402	-88.647318	34.946747	-88.776189	300.4	-5257177.593	2081825.856	1297	0	Vent
229	-89.274249	34.740387	1558	34.715783	-89.30216	34.767537	-89.245767	486.8	-5293692.792	2057732.301	1589	0	Vent
230	-88.809544	28.260099	938	28.253485	-88.809264	28.278826	-88.812476	891.7	-5263608.778	1675620.799	945	0	Vent
231	-88.616279	28.330963	866	28.31044	-88.623061	28.342562	-88.618778	351.4	-5252525.434	1676630.855	876	0	Vent
232	-88.416573	28.16862	859	28.226633	-88.429652	28.18638	-88.440658	243.1	-5241441.046	1668700.573	861	0	Vent
233	-91.425558	24.744427	1739	24.718859	-91.42833	24.77097	-91.404773	282.8	-5419704.641	1464928.594	1742	0	Vent
234	-93.139404	27.220443	3535	27.214197	-93.154751	27.226332	-93.12941	645.9	-5522003.191	1613149.238	3564	0	Vent
235	-92.800524	27.417848	3452	27.407532	-92.806317	27.411602	-92.797121	274.8	-5500342.159	1625180.444	3460	0	Vent
236	-91.269593	27.101085	2431	27.103724	-91.27683	27.090155	-91.274568	486.4	-5410493.737	1606252.078	2435	0	Vent
237	-96.199466	20.955721	2186	20.935601	-96.214146	20.974347	-96.192285	456.9	-5698953.127	1245025.496	2196	0	Vent
238	-96.517265	20.372764	2207	20.357914	-96.525105	20.37691	-96.516511	843.9	-5720236.229	1207915.258	2209	0	Vent
239	-112.454104	20.205663	2667	20.176189	-112.498277	20.228956	-112.407669	868.2	-6663956.645	1198721.205	2690	0	Vent
240	-113.264064	17.876226	2367	17.867858	-113.285472	17.877959	-113.248536	1757.1	-6714463.232	1060212.941	2383	0	Vent
241	-113.076	17.936064	2405	17.927396	-113.082633	17.932069	-113.06424	762.8	-6702960.332	1062515.876	2413	0	Vent
242	-115.856484	18.863532	2170	18.928214	-115.826033	18.864444	-115.844498	312.1	-6865470.902	1121781.725	2180	0	Vent
243	-115.21864	18.841699	2272	18.822568	-115.234821	18.869205	-115.198843	185.1	-6828889.97	1117635.698	2273	0	Vent
244	-114.791332	18.132117	2354	18.071488	-115.077057	18.252327	-114.486951	499.5	-6797371.765	1078307.085	2409	0	Vent
245	-117.41347	18.844103	1993	18.85531	-117.416468	18.824472	-117.414374	327.2	-6959377.115	1115831.832	1995	0	Vent
246	-127.527635	18.18432	929	18.188827	-127.550975	18.171942	-127.515546	134.3	-7560118.237	1077832	934	0	Vent
247	-107.952207	27.204239	3340	27.20841	-107.957412	27.194562	-107.954128	252.4	-6398648.25	1612239.563	3342	0	Vent
248	-108.043095	27.447486	3325	27.4528	-108.050021	27.43781	-108.044881	359.7	-6405575.803	1626547.894	3330	0	Vent
249	-108.063891	26.783233	3316	26.782734	-108.067032	26.773025	-108.067746	255.6	-6405996.046	1587623.058	3308	0	Vent
250	-108.243321	27.857172	3348	27.904261	-108.25993	27.869426	-108.242036	149.9	-6416657.111	1652067.443	3357	0	Vent
251	-108.513184	28.637748	3406	28.667729	-108.527841	28.601865	-108.506902	331.8	-6433296.269	1698953.615	3413	0	Vent
252	-108.701926	27.907183	3446	27.9187	-108.731051	27.911657	-108.707066	269.7	-6443993.106	1654777.988	3469	0	Vent
253	-109.214072	27.406784	3608	27.400597	-109.218831	27.418681	-109.217118	168.4	-6473673.386	1624287.649	3611	0	Vent
254	-109.820243	26.022137	3369	26.033844	-109.821576	26.002435	-109.809964	231.4	-6510264.094	1545039.613	3424	0	Vent
255	-109.79886	26.380037	3381	26.360764	-109.820085	26.392553	-109.787725	336.8	-6507363.367	1564087.624	3394	0	Vent
256	-108.781421	28.575329	3510	28.56321	-108.787655	28.578438	-108.790035	626.1	-6448392.041	1692841.959	3514	0	Vent
257	-108.559535	28.701211	3419	28.678229	-108.566292	28.711542	-108.563318	273.8	-6435730.652	1700633.593	3428	0	Vent
258	-108.598199	28.522846	3445	28.504033	-108.605784	28.538536	-108.598645	337.4	-6437980.121	1689578.709	3452	0	Vent
259	-108.44789	28.411215	3403	28.349185	-108.475254	28.416107	-108.446403	94.9	-6430103.044	1680084.548	3416	0	Vent
260	-108.542117	28.197255	3463	28.199411	-108.545835	28.164463	-108.553271	116.3	-6434258.119	1671506.46	3464	0	Vent
261	-108.557766	27.721114	3401	27.704878	-108.562136	27.734622	-108.554849	51.3	-6435244.949	1642360.964	3401	0	Vent
262	-107.886573	29.827671	3152	29.827195	-107.893117	29.823566	-107.891094	81.7	-6395400.959	1767852.698	3156	0	Vent
263	-107.940044	27.257229	3331	27.257258	-107.943673	27.24084	-107.947302	162.2	-6398147.323	1614982.745	3333	0	Vent
264	-107.789438	26.524217	3234	26.523711	-107.829592	26.516454	-107.763919	352.8	-6387468.463	1571922.986	3587	0	Vent
265	-107.677734	28.588632	3116	28.602897	-107.678876	28.577318	-107.679708	145.6	-6383369.024	1693325.836	3117	0	Vent
266	-107.846321	29.976223	3021	29.978868	-107.852762	29.976012	-107.838295	350.1	-6393141.995	1776581.933	3027	0	Vent
267	-107.67832	30.045564	2938	30.038783	-107.685498	30.046992	-107.678836	88.4	-6382430.609	1780810.566	2938	0	Vent
268	-107.655468	30.1075	2885	30.086545	-107.663321	30.100167	-107.65993	80.4	-6381930.775	1783161.621	2904	0	Vent
269	-107.729117	30.906137	2917	30.865764	-107.796896	30.936576	-107.679398	378	-6385686.989	1832590.854	2943	0	Vent
270	-107.458488	29.530865	2903	29.514361	-107.463841	29.545294	-107.454918	390.4	-6370838.724	1748397.87	2932	0	Vent
271	-107.468227	32.228493	2692	32.209903	-107.496483	32.236077	-107.453355	307.2	-6371805.291	1909052.086	2720	0	Vent
272	-107.393248	31.471709	2740	31.448063	-107.409904	31.484944	-107.382838	199.7	-6364390.615	1866495.735	2750	0	Vent
273	-106.981527	29.847099	2622	29.826724	-106.986881	29.868068	-106.988666	225.7	-6341780.034	1769215.824	2631	0	Vent
274	-108.778582	27.028789	3507	27.02061	-108.835392	27.02983	-108.779772	159.1	-6448646.888	1601687.488	3523	0	Vent
275	-111.770469	24.683772	3082	24.71475	-111.770138	24.633849	-111.77799	319.3	-6626540.132	1460783.219	3098	0	Vent
276	-111.883998	23.901108	2914	23.951434	-111.897561	23.843644	-111.871625	391.9	-6631983.241	1419180.854	2926	0	Vent
277	-111.689461	21.262468	2699	21.244979	-111.689699	21.275436	-111.683988	289.1	-6620478.012	1260250.515	2699	0	Vent
278	-117.639311	17.837007	2041	17.758127	-117.686186	17.929449	-117.563882	281.8	-6968275.817	1062923.434	2491	0	Vent
279	-117.0149	18.528503	2127	18.433919	-117.081525	18.542898	-117.008	524.2	-6940109.008	1092608.566	2546	0	Vent
280	-99.730759	24.889552	1741	24.883722	-99.741229	24.883246	-99.711486	183.4	-5912322.983	1475003.294	1832	0	Vent
281	-104.989821	24.528389	2044	24.533742	-104.990772	24.519466	-104.992914	454	-6223637.597	1453426.226	2078	0	Vent
282	-103.768131	18.239323	2231	18.240156	-103.79145	18.218503	-103.733867	183.4	-6149961.426	1080567.611	2235	0	Vent
283	-103.674131	16.700993	3367	16.694449	-103.682459	16.694925	-103.667469	198	-6144880.406	989298.9257	3374	0	Vent
284	-104.034921	16.920197	3039	16.933927	-104.072243	16.925551	-103.972496	239.9	-6166587.696	1002749.167	3039	0	Vent
285	-101.131117	10.942767	3626	10.915451	-101.142158	10.940578	-101.130927	287.1	-5995337.228	646644.7746	3604	0	Vent
286	-101.044267	10.820034	3656	10.808708	-101.033417	10.813657	-101.053404	294.6	-5990189.243	641079.2056	3660	0	Vent
287	-101.181562	10.437792	3442	10.450427	-101.296443	10.422944	-101.131903	213.4	-5995316.413	617558.5212	3458	0	Vent
288	-105.428578	-9.332739	6831	-9.367039	-105.400833	-9.398448	-105.34444	290.2	-6248163.852	-554502.7246	6840	0	Vent
289	-108.252803	-11.148328	6218	-11.150613	-108.252411	-11.118204	-108.21472	274.3	-6414418.071	-660124.0892	6224	0	Vent
290	-104.91103	-12.541784	6571	-12.540142	-104.911839	-12.540142	-104.910887	0	-6219026.541	-743524.6984	6575	1	NoVent
291	-104.760861	-12.348277	6612	-12.37778	-104.76514	-12.330762	-104.74382	217.2	-6209211.351	-732359.2954	6614	0	Vent
292	-104.893509	-11.823072	6727	-11.819131	-104.89455	-11.819131	-104.893063	0	-6217581.792	-700923.2806	6727	1	NoVent
293	-104.253003	-10.639281	7007	-10.638981	-104.255016	-10.638378	-104.254563	0	-6179996.821	-630949.0177	7008	1	NoVent
294	-103.320463	-12.796057	6906	-12.794623	-103.322948	-12.794242	-103.321805	0	-6124483.834	-758266.6326	6906	1	NoVent
295	-103.434521	-12.871232	6876	-12.870375	-103.452795	-12.881225	-103.454698	502.9	-6130584.485	-762900.2793	6877	0	Vent
296	-103.298217	-11.837422	7032	-11.833528	-103.300176	-11.833528	-103.294822	0	-6123156.737	-701359.2056	7034	1	NoVent
297	-103.41579	-11.41555	7167	-11.414182	-103.421263	-11.414182	-103.420073	0	-6129533.475	-676818.274	7168	1	NoVent
298	-103.41004	-11.603271	7052	-11.616079	-103.433279	-11.594307	-103.390449	514.2	-6128710.26	-684755.0376	7090	0	Vent
299	-104.63256	-11.237385	6865	-11.235312	-104.662854	-11.236026	-104.656192	299.2	-6202249.503	-666122.2308	6866	0	Vent
300	-103.90161	-13.182907	6650	-13.18504	-103.920868	-13.181994	-103.909827	290.8	-6159709.691	-781459.3848	6652	0	Vent
301	-103.735568	-13.181331	6648	-13.190563	-103.760696	-13.189611	-103.7468	643.6	-6148522.094	-781442.1101	6650	0	Vent
302	-102.848901	-12.554848	6953	-12.533655	-102.836369	-12.549265	-102.846839	412.7	-6095770.522	-743960.5895	6964	0	Vent
303	-102.822525	-11.483742	7306	-11.481972	-102.826205	-11.479116	-102.824302	0	-6094444.029	-680572.6449	7308	1	NoVent
304	-102.455652	-11.627571	7449	-11.620313	-102.461402	-11.620313	-102.459023	0	-6072680.815	-688886.4576	7449	1	NoVent
305	-102.085783	-10.737421	7608	-10.754791	-102.094904	-10.797383	-102.043032	311	-6049529.864	-636123.0839	7615	0	Vent
306	-101.697668	-10.608288	7870	-10.615776	-101.698749	-10.604354	-101.688755	285.6	-6028191.609	-628570.3235	7870	0	Vent
307	-101.97258	-10.364326	7648	-10.361613	-101.974548	-10.361019	-101.972763	0	-6044791.595	-614312.6621	7648	1	NoVent
308	-101.752287	-10.941459	7702	-10.940121	-101.754071	-10.940121	-101.752881	0	-6031488.33	-648496.6882	7702	1	NoVent
309	-101.031183	-10.840671	7680	-10.84434	-101.035779	-10.839272	-101.031424	360.3	-5988279.684	-642505.5881	7680	0	Vent
310	-100.899665	-11.575437	7500	-11.570166	-100.901659	-11.570641	-100.899279	0	-5980433.222	-686524.0549	7501	1	NoVent
311	-100.810572	-11.445473	7545	-11.436392	-100.815855	-11.450193	-100.808241	519	-5972537.343	-680039.0306	7574	0	Vent
312	-101.495061	-12.370589	7309	-12.312705	-101.574377	-12.367908	-101.466825	209.3	-6016216.003	-732894.8049	7310	0	Vent
313	-103.111857	-8.078416	7433	-8.069105	-103.122634	-8.088438	-103.12189	240.7	-6112440.326	-478621.4223	7435	0	Vent
314	-100.148162	-10.122166	7540	-10.120902	-100.14831	-10.120902	-100.145039	0	-5936472.012	-598951.6608	7543	1	NoVent
315	-100.254904	-12.607435	7456	-12.604907	-100.255499	-12.605502	-100.252822	0	-5942519.896	-746764.5375	7458	1	NoVent
316	-100.325374	-11.956391	7433	-11.941799	-100.36862	-11.955362	-100.331203	176.9	-5948034.024	-708334.8906	7442	0	Vent
317	-100.612739	-10.349242	7628	-10.345464	-100.616427	-10.345464	-100.613453	0	-5963721.98	-612445.3662	7628	1	NoVent
318	-98.868422	-14.671342	7240	-14.667634	-98.894002	-14.671917	-98.884008	336.8	-5859651.128	-869415.1267	7243	0	Vent
319	-99.094543	-13.746954	7313	-13.738632	-99.110539	-13.744134	-99.105334	354.1	-5874433.739	-814339.6231	7315	0	Vent
320	-99.653307	-11.726664	7334	-11.737735	-99.660686	-11.73448	-99.655032	145.2	-5906894.253	-694404.7445	7339	0	Vent
321	-102.402384	-13.479259	6893	-13.492332	-102.421232	-13.471512	-102.39476	182	-6069396.43	-798593.9722	6898	0	Vent
322	-102.132598	-14.53191	6964	-14.530429	-102.133942	-14.529715	-102.132514	0	-6054158.088	-861133.3858	6969	1	NoVent
323	-101.628509	-15.63296	6915	-15.650847	-101.642176	-15.614965	-101.614737	265.1	-6023051.306	-927760.2875	6922	0	Vent
324	-100.243306	-15.72178	6954	-15.723713	-100.245368	-15.723713	-100.244416	0	-5942086.293	-931476.3692	6956	1	NoVent
325	-99.169461	-19.874195	5423	-19.872601	-99.169766	-19.872601	-99.168053	0	-5878578.283	-1177854.945	5424	1	NoVent
326	-100.701948	-14.149054	7126	-14.155026	-100.721959	-14.14113	-100.703114	201.7	-5969872.968	-839362.1134	7128	0	Vent
327	-99.731847	-14.061712	7563	-14.05775	-99.734247	-14.05775	-99.73276	0	-5911456.576	-833296.3959	7563	1	NoVent
328	-99.404433	-13.857862	7479	-13.866285	-99.422368	-13.858861	-99.401239	167.6	-5892523.139	-821744.978	7480	0	Vent
329	-99.654419	-15.172909	7207	-15.173673	-99.664509	-15.172959	-99.662368	0	-5907324.022	-899517.669	7210	1	NoVent
330	-99.734628	-15.635655	7254	-15.619154	-99.747203	-15.627631	-99.735157	749.1	-5911536.809	-926870.6671	7255	0	Vent
331	-98.833322	-16.203456	6732	-16.202043	-98.835999	-16.201448	-98.835404	0	-5859161.505	-961627.0081	6735	1	NoVent
332	-98.41265	-12.482502	6938	-12.466132	-98.411796	-12.473175	-98.412843	268.8	-5832779.25	-739799.2397	6938	0	Vent
333	-98.43544	-14.943808	7151	-14.95047	-98.428611	-14.954539	-98.424257	264.3	-5833732.375	-886098.5689	7158	0	Vent
334	-99.180511	-11.317013	7265	-11.31505	-99.183797	-11.341105	-99.160598	169.5	-5878657.836	-671180.6175	7300	0	Vent
335	-98.864374	-13.252474	7142	-13.247537	-98.871631	-13.247537	-98.86949	0	-5860071.229	-785202.1364	7143	1	NoVent
336	-99.468547	-13.178709	7358	-13.179344	-99.505222	-13.190651	-99.505071	317.3	-5897550.525	-780990.5066	7354	0	Vent
337	-100.290503	-12.711529	7424	-12.708717	-100.289171	-12.709193	-100.287744	0	-5945755.535	-753637.0294	7427	1	NoVent
338	-100.434522	-11.773655	7392	-11.771119	-100.437724	-11.770738	-100.436201	0	-5953225.884	-698061.7888	7392	1	NoVent
339	-99.967341	-11.640175	7411	-11.648626	-99.966931	-11.638917	-99.952463	120.1	-5924873.83	-690276.7328	7420	0	Vent
340	-95.810399	-17.486578	5657	-17.485093	-95.811558	-17.485093	-95.810666	0	-5678616.188	-1036592.028	5662	1	NoVent
341	-94.825049	-18.26641	5177	-18.259549	-94.831454	-18.371979	-94.724021	183.4	-5620209.909	-1083383.317	5183	0	Vent
342	-95.183706	-17.822359	5394	-17.824203	-95.184212	-17.823905	-95.183171	0	-5641494.583	-1056055.256	5401	1	NoVent
343	-102.30461	-12.250759	7123	-12.236556	-102.297026	-12.251725	-102.290779	879.1	-6064311.766	-726790.4777	7125	0	Vent
344	-104.219214	-13.872128	6729	-13.873392	-104.228732	-13.907745	-104.207019	749	-6176340.969	-820826.1308	6761	0	Vent
345	-106.671805	-10.3276	6740	-10.335362	-106.678324	-10.339282	-106.660987	389.2	-6323226.718	-612406.531	6753	0	Vent
346	-106.552756	-10.193092	6640	-10.192541	-106.553309	-10.192541	-106.552596	0	-6315763.935	-604061.2883	6640	1	NoVent
347	-106.610035	-10.359383	6667	-10.356016	-106.618244	-10.357634	-106.604157	115.9	-6319861.462	-613757.3558	6682	0	Vent
348	-105.129508	-8.335188	7010	-8.342699	-105.154545	-8.340076	-105.141351	411.6	-6230563.548	-493909.2025	7016	0	Vent
349	-105.792062	-9.858203	6785	-9.843908	-105.841342	-9.873948	-105.713446	868.2	-6272281.906	-584176.9893	6800	0	Vent
350	-106.226174	-10.48385	6663	-10.514039	-106.23599	-10.477455	-106.228256	553.6	-6297252.128	-621651.2696	6665	0	Vent
351	-105.152886	-9.284425	6903	-9.289003	-105.182655	-9.295787	-105.137276	187	-6231035.314	-551317.3478	6915	0	Vent
352	-107.251741	-10.767439	6384	-10.761635	-107.257772	-10.777767	-107.250234	567.8	-6356891.389	-638367.8847	6383	0	Vent
353	-107.421039	-10.935078	6444	-10.910593	-107.516958	-10.958777	-107.362412	683.1	-6369016.715	-647170.6113	6449	0	Vent
354	-106.060546	-10.898724	6559	-10.90961	-106.085173	-10.899616	-106.051266	647.9	-6286105.926	-645794.3003	6564	0	Vent
355	-105.298156	-12.607528	6416	-12.595951	-105.293882	-12.602804	-105.279986	369.2	-6241262.461	-746262.2636	6420	0	Vent
356	-104.806729	-13.561474	6127	-13.584959	-104.856182	-13.546055	-104.765881	256.2	-6211041.6	-803230.2689	6155	0	Vent
357	-104.914268	-13.490834	6149	-13.499793	-104.95805	-13.490084	-104.898849	653.8	-6218549.952	-799517.0056	6151	0	Vent
358	-103.466996	-8.118635	7319	-8.147117	-103.489727	-8.103335	-103.44071	436.5	-6134218.857	-482758.8293	7338	0	Vent
359	-104.913634	-10.093443	6856	-10.062748	-104.945995	-10.134607	-104.87128	443	-6220407.981	-598103.8262	6857	0	Vent
360	-103.647939	-12.118694	6789	-12.084192	-103.679824	-12.149865	-103.611772	919.9	-6142117.772	-718446.1888	6794	0	Vent
361	-103.437037	-9.810157	7100	-9.82372	-103.452266	-9.814678	-103.429899	497.7	-6131038.314	-581811.4523	7102	0	Vent
362	-103.846796	-12.691333	6623	-12.748678	-103.902952	-12.660638	-103.806821	431.2	-6154158.831	-751382.1288	6634	0	Vent
363	-102.531438	-12.793871	7035	-12.796393	-102.538767	-12.795631	-102.534008	269.7	-6077384.581	-758407.8116	7044	0	Vent
364	-102.584186	-12.83774	7025	-12.841832	-102.595417	-12.837645	-102.582853	479.6	-6081839.784	-761211.2434	7052	0	Vent
365	-102.623354	-12.861241	7071	-12.867721	-102.638247	-12.856871	-102.622447	248.4	-6083332.183	-762536.5781	7088	0	Vent
366	-102.478691	-12.791782	7191	-12.794814	-102.487675	-12.797098	-102.476444	641.8	-6074037.967	-758275.5237	7198	0	Vent
367	-103.14326	-13.278273	6903	-13.2511	-103.140183	-13.339854	-103.140897	487.7	-6112516.181	-784734.2189	6939	0	Vent
368	-103.083391	-12.594762	6909	-12.566168	-103.076264	-12.682286	-103.083402	450.3	-6109644.426	-749457.555	6912	0	Vent
369	-103.118315	-14.28109	6799	-14.258842	-103.109511	-14.327846	-103.134257	638.7	-6112010.721	-846773.8624	6811	0	Vent
370	-105.258444	-8.69615	6962	-8.708404	-105.272483	-8.692462	-105.210855	327.1	-6239873.309	-516075.2051	6976	0	Vent
371	-105.396571	-8.738723	6977	-8.751215	-105.420128	-8.744076	-105.389195	504.9	-6249059.307	-518446.3401	6981	0	Vent
372	-105.336748	-8.721769	6986	-8.734261	-105.356022	-8.728788	-105.334369	385.6	-6244040.828	-517475.2727	6990	0	Vent
373	-102.640845	-10.84262	7334	-10.842977	-102.650839	-10.841787	-102.62633	779.8	-6084682.054	-642587.2544	7337	0	Vent
374	-102.520728	-11.13467	7542	-11.139072	-102.530246	-11.126699	-102.506927	923.4	-6077232.106	-661032.3844	7558	0	Vent
375	-102.426518	-10.79316	7369	-10.814694	-102.461972	-10.781382	-102.394872	889	-6069845.348	-639757.0768	7384	0	Vent
376	-101.392621	-8.114557	7417	-8.116817	-101.392431	-8.113962	-101.388719	178.5	-6010177.738	-480856.7262	7417	0	Vent
377	-101.356484	-8.938867	7288	-8.956784	-101.368048	-8.924091	-101.346776	301.5	-6006910.196	-528549.6465	7295	0	Vent
378	-100.654377	-8.730784	7464	-8.745989	-100.676364	-8.724145	-100.64367	158.9	-5965690.784	-516968.744	7472	0	Vent
379	-100.066629	-9.619392	7478	-9.651681	-100.092137	-9.567924	-100.045975	252.6	-5930940.312	-569812.0665	7480	0	Vent
380	-99.316088	-10.052506	7366	-10.047699	-99.332998	-10.065022	-99.299495	824.5	-5887354.182	-596185.0491	7374	0	Vent
381	-101.444573	-10.313275	8073	-10.319271	-101.457327	-10.316987	-101.430867	1014.4	-6012402.448	-612479.8394	8086	0	Vent
382	-101.765031	-10.67383	7837	-10.68211	-101.793965	-10.673354	-101.775691	429.3	-6032385.914	-632763.3395	7836	0	Vent
383	-101.488693	-10.793292	7769	-10.801572	-101.496688	-10.779871	-101.477081	318	-6016143.146	-640666.1152	7770	0	Vent
384	-101.168617	-11.838266	7467	-11.826369	-101.170902	-11.8534	-101.174138	899.1	-5996228.616	-701787.2238	7473	0	Vent
385	-101.019179	-12.008336	7553	-12.011641	-101.027749	-12.007262	-101.019563	394.7	-5987915.129	-711016.1596	7558	0	Vent
386	-100.96496	-10.135404	7710	-10.13959	-100.972039	-10.117223	-100.943961	425.4	-5985120.188	-601280.7717	7716	0	Vent
387	-100.47658	-9.761058	7648	-9.766567	-100.49256	-9.764305	-100.481706	358	-5957809.107	-578689.5195	7669	0	Vent
388	-100.624581	-9.575269	7668	-9.631277	-100.668	-9.537805	-100.590207	516.6	-5960988.103	-566111.3984	7693	0	Vent
389	-100.619332	-9.821937	7673	-9.846738	-100.649485	-9.816887	-100.609382	597.2	-5963875.843	-581875.0284	7683	0	Vent
390	-101.49786	-11.083272	7669	-11.082443	-101.505549	-11.090433	-101.49967	564.4	-6015222.554	-656885.6476	7670	0	Vent
391	-102.026454	-11.6132	7600	-11.629407	-102.029922	-11.54158	-101.988084	721.8	-6048145.736	-689312.4712	7663	0	Vent
392	-101.774677	-11.908864	7358	-11.84679	-101.852444	-11.970284	-101.710747	932.3	-6033280.978	-706338.6086	7441	0	Vent
393	-101.863585	-12.208914	7535	-12.20945	-101.871342	-12.219538	-101.869438	524	-6037907.796	-724039.3506	7545	0	Vent
394	-102.046088	-11.824496	7627	-11.832967	-102.072738	-11.822497	-102.023816	982	-6049030.248	-700466.0803	7653	0	Vent
395	-100.173309	-11.200684	7474	-11.215437	-100.183398	-11.196972	-100.174261	644	-5938893.519	-664386.8511	7486	0	Vent
396	-99.774808	-11.077523	7472	-11.110169	-99.825062	-11.018417	-99.723602	681.7	-5911049.669	-653210.667	7503	0	Vent
397	-99.986745	-11.248741	7488	-11.257117	-100.007398	-11.248836	-99.987601	488	-5926778.819	-666588.9807	7488	0	Vent
398	-99.757583	-11.262382	7451	-11.248076	-99.789968	-11.272614	-99.742676	351.1	-5913819.893	-668467.1036	7467	0	Vent
399	-99.930624	-11.875442	7399	-11.874327	-99.946388	-11.884588	-99.915455	644	-5923586.02	-704526.7581	7412	0	Vent
400	-99.803286	-12.60921	7437	-12.610224	-99.815582	-12.617268	-99.800353	217.7	-5915293.383	-748096.8158	7442	0	Vent
401	-99.89042	-13.013632	7360	-13.010063	-99.917356	-13.025958	-99.868529	518.5	-5919349.634	-771721.8314	7369	0	Vent
402	-100.154832	-13.017679	7546	-12.99317	-100.153785	-13.024199	-100.160828	703.1	-5937451.296	-771707.8284	7556	0	Vent
403	-100.209003	-12.715153	7395	-12.711298	-100.219377	-12.723196	-100.21043	665.1	-5940645.328	-753606.4611	7401	0	Vent
404	-100.103478	-12.350678	7458	-12.345491	-100.115756	-12.365353	-100.095571	386.7	-5932858.659	-733271.6736	7460	0	Vent
405	-100.219062	-12.138774	7450	-12.137191	-100.229464	-12.148649	-100.216197	393.9	-5940623.816	-719907.1919	7451	0	Vent
406	-99.471247	-11.284527	7516	-11.297116	-99.480895	-11.289276	-99.468081	335.7	-5896280.377	-668925.0267	7516	0	Vent
407	-99.253797	-13.982772	7485	-13.982848	-99.264501	-13.992195	-99.251536	738.8	-5883255.717	-829624.3126	7505	0	Vent
408	-100.583068	-12.071406	7431	-12.059873	-100.588646	-12.098619	-100.576283	271.6	-5962851.778	-715304.6775	7434	0	Vent
409	-100.67355	-12.596707	7333	-12.582008	-100.688777	-12.605527	-100.674907	319.4	-5968426.664	-745764.7494	7351	0	Vent
410	-100.641648	-13.278092	7204	-13.282539	-100.6519	-13.28058	-100.639688	544.9	-5966087.149	-786966.0291	7206	0	Vent
411	-102.764686	-13.314497	6933	-13.286832	-102.778707	-13.291656	-102.767702	220.4	-6090223.571	-787852.8467	6942	0	Vent
412	-102.553825	-13.636775	6842	-13.64665	-102.571012	-13.624639	-102.544478	700.9	-6080480.214	-808810.7691	6866	0	Vent
413	-101.763505	-13.239974	7014	-13.275328	-101.772702	-13.213515	-101.756419	517.4	-6032297.167	-786988.094	7033	0	Vent
414	-101.928123	-12.957771	7051	-12.992638	-101.948832	-12.935531	-101.909333	668.2	-6041665.587	-769400.8245	7081	0	Vent
415	-102.187211	-13.421378	7072	-13.426256	-102.191732	-13.406268	-102.184118	348.7	-6056845.242	-794900.7401	7071	0	Vent
416	-102.37911	-14.343697	7087	-14.303603	-102.375541	-14.384266	-102.395291	532.5	-6069370.908	-852778.1876	7088	0	Vent
417	-102.327681	-13.826045	6971	-13.834773	-102.334122	-13.825124	-102.33171	336	-6065281.569	-820732.0803	6978	0	Vent
418	-102.252034	-14.294809	7092	-14.294432	-102.255803	-14.304382	-102.258517	432.7	-6061093.804	-847197.7559	7092	0	Vent
419	-102.087079	-13.801351	6936	-13.824946	-102.107965	-13.774977	-102.065283	149.6	-6051756.157	-818472.8953	6943	0	Vent
420	-102.079331	-14.860392	6933	-14.873107	-102.0771	-14.855856	-102.073085	479	-6050239.111	-880917.1838	6938	0	Vent
