	FID	Longitude	Latitude	Easting	Northing	Elevation	v1_lat	v1_long	v2_lat	v2_long	Width	peak_lat	peak_long	peak_east	peak_north	peak_elev	noVentInt	noVent	FID2017	AspectRatio	Equant	EquantInt	Length	Orientation	Prominence	clusterID	clusterName
23	23	-115.050558	17.14972	-6819587.027	1016544.448	2276	17.115717	-115.114978	17.213573	-114.927001	596.141627	17.160356	-115.066548	-6820534.828	1017174.905	2284	0	Vent	23	20.2997303193	NotEquant	0	12101.5142602	61.3889181722	1.0	2.0	
24	24	-110.198979	30.666668	-6532011.167	1817757.483	3378	30.636776	-110.223071	30.661677	-110.20845	268.535647	30.63583	-110.215398	-6532984.356	1815929.58	3382	0	Vent	24	6.14670961358	NotEquant	0	1650.610643	26.7964748925	1.0	2.0	
25	25	-112.004168	29.657293	-6639013.183	1757927.051	3189	29.636853	-112.00679	29.674544	-112.003935	353.238697	29.644915	-112.012049	-6639480.314	1757193.351	3192	0	Vent	25	6.32681772531	NotEquant	0	2234.87684945	3.76539453574	14.0	2.0	
26	26	-111.967714	30.040555	-6636852.368	1780644.811	3052	29.966079	-111.956744	30.088026	-111.936816	114.799733	29.981092	-111.957149	-6636226.142	1777120.176	3056	0	Vent	26	63.4762283629	NotEquant	0	7287.05406791	8.0479545053	2.0	2.0	
27	27	-109.238413	28.758111	-6475073.887	1704628.352	3550	28.741846	-109.240896	28.762666	-109.242085	537.626597	28.746904	-109.245837	-6475513.937	1703964.045	3585	0	Vent	27	2.29414413137	NotEquant	0	1233.39290238	-2.86597774976	82.0	2.0	
28	28	-109.539401	28.071327	-6492914.839	1663919.438	3558	28.061202	-109.544792	28.069494	-109.542832	277.103232	28.066259	-109.543712	-6493170.407	1663619.019	3564	0	Vent	28	1.80859767329	NotEquant	0	501.168260656	11.7812485432	4.0	2.0	
29	29	-109.05965	27.857643	-6464477.741	1651253.347	3481	27.849293	-109.06489	27.855003	-109.06828	321.62486	27.854859	-109.073926	-6465323.992	1651088.328	3484	0	Vent	29	1.18634404083	Equant	1	381.557736044		7.0	2.0	
30	30	-109.190188	28.069664	-6472215.391	1663820.869	3529	28.022521	-109.176031	28.106397	-109.216184	264.993543	28.103715	-109.208177	-6473281.668	1665839.178	3553	0	Vent	30	20.3298684909	NotEquant	0	5387.28388012	-22.8912270529	67.0	2.0	
31	31	-108.589876	28.235125	-6436632.055	1673628.465	3471	28.247691	-108.597163	28.220773	-108.59523	204.99643	28.237623	-108.612148	-6437952.206	1673776.558	3480	0	Vent	31	7.78468407212	NotEquant	0	1595.83244346	176.379451669	17.0	2.0	
32	32	-108.883381	28.161125	-6454029.448	1669242.153	3508	28.087347	-108.912618	28.195612	-108.879306	278.981313	28.221301	-108.865392	-6452963.172	1672809.101	3539	0	Vent	32	23.7910601166	NotEquant	0	6637.26118898	15.1719847502	37.0	2.0	
33	33	-108.8601	28.436337	-6452649.485	1685555.289	3557	28.413954	-108.856475	28.453691	-108.87908	243.16937	28.433696	-108.877232	-6453664.986	1685398.733	3562	0	Vent	33	10.8108607931	NotEquant	0	2628.87020823	-26.5707495095	65.0	2.0	
34	34	-109.907427	30.067839	-6514729.518	1782262.062	3581	30.061017	-109.912234	30.074152	-109.909322	530.221624	30.058431	-109.925416	-6515795.794	1781704.383	3680	0	Vent	34	1.49244986853	Equant	1	791.329193033		1.0	2.0	
35	35	-109.801449	29.533609	-6508447.65	1750595.755	3802	29.501939	-109.832001	29.546435	-109.794286	409.992859	29.557451	-109.780019	-6507177.427	1752008.994	3845	0	Vent	35	7.97885724892	NotEquant	0	3271.27449504	36.4010031873	1.0	2.0	
36	36	-109.48695	28.461896	-6489805.815	1687070.271	3505	28.494673	-109.516931	28.466833	-109.486474	209.673756	28.502513	-109.511648	-6491269.829	1689477.855	3519	0	Vent	36	10.8988684248	NotEquant	0	2285.20667878	136.11413384	17.0	2.0	
37	37	-109.861137	27.838386	-6511985.677	1650111.934	3685	27.851243	-109.886611	27.827925	-109.835453	508.240086	27.847595	-109.885836	-6513449.692	1650657.766	3714	0	Vent	37	5.92470764298	NotEquant	0	3011.17392199	117.257535798	58.0	2.0	
38	38	-110.278994	26.667064	-6536754.01	1580682.171	3458	26.667585	-110.288958	26.66119	-110.275722	605.536128	26.652002	-110.278708	-6536737.085	1579789.376	3467	0	Vent	39	1.31384313544	Equant	1	795.579485036		40.0	2.0	
39	39	-110.372571	26.314832	-6542300.741	1559803.721	3344	26.319368	-110.371678	26.29245	-110.381494	189.883377	26.31576	-110.365004	-6541852.228	1559858.727	3348	0	Vent	40	8.82429075471	NotEquant	0	1675.58612813	-161.895317776	11.0	2.0	
40	40	-109.763612	25.532929	-6506204.876	1513456.63	3415	25.535763	-109.776493	25.524699	-109.760432	870.72629	25.535142	-109.776175	-6506949.576	1513587.799	3423	0	Vent	41	1.23896840659	Equant	1	1078.8023641		72.0	2.0	
41	41	-110.110312	23.041068	-6526755.455	1365752.349	3078	23.025304	-110.118521	23.0466	-110.113287	320.15253	23.020296	-110.112454	-6526882.393	1364521.053	3088	0	Vent	42	4.03507526922	NotEquant	0	1291.83955618	12.7434613547	75.0	2.0	
42	42	-110.172318	22.551214	-6530430.823	1336716.398	2919	22.551631	-110.187071	22.551036	-110.176482	285.239451	22.543005	-110.169891	-6530286.961	1336229.803	2940	0	Vent	43	2.03225757064	NotEquant	0	579.680033741	93.4797039242	10.0	2.0	
43	43	-110.422014	23.737572	-6545231.471	1407037.429	3086	23.724545	-110.435815	23.73668	-110.419991	483.775538	23.722368	-110.439003	-6546238.51	1406136.171	3104	0	Vent	44	2.31116175216	NotEquant	0	1118.08352006	50.0438135843	18.0	2.0	
44	44	-110.824862	24.352369	-6569110.145	1443479.319	3071	24.261652	-110.850798	24.433449	-110.80416	218.728552	24.363856	-110.838079	-6569893.633	1444160.199	3074	0	Vent	45	47.8718035653	NotEquant	0	10470.9302755	13.8824170895	9.0	2.0	
45	45	-110.631693	25.554308	-6557660.125	1514723.889	3314	25.576556	-110.651204	25.53325	-110.629789	322.936518	25.565658	-110.644256	-6558404.826	1515396.658	3321	0	Vent	46	8.68806459194	NotEquant	0	2805.69332748	155.95239047	107.0	2.0	
46	46	-109.82112	27.037823	-6509613.651	1602658.786	3529	27.020572	-109.838728	27.072682	-109.798039	256.700008	27.051362	-109.815599	-6509286.434	1603461.314	3535	0	Vent	47	14.6296869943	NotEquant	0	3755.44076847	34.8068555156	2.0	2.0	
47	47	-110.190665	27.746379	-6531518.359	1644658.201	3716	27.736504	-110.198518	27.754588	-110.185193	244.393385	27.737456	-110.199089	-6532017.647	1644129.294	3709	0	Vent	48	5.22672064952	NotEquant	0	1277.37595198	33.1060831365	2.0	2.0	
48	48	-109.802424	24.680684	-6508505.487	1462940.088	3114	24.726806	-109.817092	24.63829	-109.79996	234.422386	24.721302	-109.795096	-6508071.078	1465347.672	3123	0	Vent	49	22.6837018435	NotEquant	0	5317.56750947	170.0221734	1.0	2.0	
49	49	-109.619677	24.305841	-6497673.184	1440721.4	3153	24.309721	-109.621821	24.292685	-109.622726	296.187846	24.308197	-109.620676	-6497732.422	1440861.032	3153	0	Vent	50	3.40710785278	NotEquant	0	1009.143936	-177.227955308	5.0	2.0	
50	50	-109.69773	23.634677	-6502299.769	1400938.314	3141	23.667317	-109.696222	23.582287	-109.704062	832.176686	23.636485	-109.691317	-6501919.661	1401045.506	3175	0	Vent	51	6.06705276381	NotEquant	0	5048.85986277	-175.169821379	28.0	2.0	
51	51	-113.042142	27.62705	-6700538.75	1637585.033	2862	27.616572	-113.087973	27.62215	-113.023296	242.349926	27.621922	-113.087762	-6703242.875	1637281.087	2870	0	Vent	52	14.0568626453	NotEquant	0	3406.67962187	84.4256000449	1.0	2.0	
52	52	-113.143873	27.589326	-6706568.877	1635348.951	2905	27.575983	-113.158045	27.584878	-113.143873	176.865557	27.573122	-113.153439	-6707135.865	1634388.456	2917	0	Vent	53	5.14906111831	NotEquant	0	910.691562717	54.6938368991	85.0	2.0	
