	FID	Longitude	Latitude	Easting	Northing	Elevation	v1_lat	v1_long	v2_lat	v2_long	Width	peak_lat	peak_long	peak_east	peak_north	peak_elev	noVentInt	noVent	FID2017	AspectRatio	Equant	EquantInt	Length	Orientation	Prominence	clusterID	clusterName
247	247	-107.952207	27.204239	-6398834.425	1612523.057	3340	27.20841	-107.957412	27.194562	-107.954128	252.426463	27.199457	-107.949066	-6398648.25	1612239.563	3342	0	Vent	252	3.31726914887	NotEquant	0	837.366518069	168.089056194	48.0	2.0	
248	248	-108.043095	27.447486	-6404221.801	1626941.401	3325	27.4528	-108.050021	27.43781	-108.044881	359.695558	27.440847	-108.065938	-6405575.803	1626547.894	3330	0	Vent	253	2.57735512615	NotEquant	0	927.063190265	163.073662488	26.0	2.0	
249	249	-108.063891	26.783233	-6405454.445	1587568.051	3316	26.782734	-108.067032	26.773025	-108.067746	255.638319	26.784161	-108.073028	-6405996.046	1587623.058	3308	0	Vent	254	2.2519543984	NotEquant	0	575.685836871	-176.243557487	1.0	2.0	
250	250	-108.243321	27.857172	-6416090.123	1651225.423	3348	27.904261	-108.25993	27.869426	-108.242036	149.856946	27.871377	-108.252887	-6416657.111	1652067.443	3357	0	Vent	255	15.1047981297	NotEquant	0	2263.55891767	155.576491829	9.0	2.0	
251	251	-108.513184	28.637748	-6432086.13	1697493.832	3406	28.667729	-108.527841	28.601865	-108.506902	331.827887	28.662375	-108.533599	-6433296.269	1698953.615	3413	0	Vent	256	12.1925050006	NotEquant	0	4045.81317158	164.404314737	1.0	2.0	
252	252	-108.701926	27.907183	-6443273.792	1654189.844	3446	27.9187	-108.731051	27.911657	-108.707066	269.690644	27.917106	-108.714061	-6443993.106	1654777.988	3469	0	Vent	257	4.89973394945	NotEquant	0	1321.41240426	108.376484675	27.0	2.0	
253	253	-109.214072	27.406784	-6473631.074	1624528.83	3608	27.400597	-109.218831	27.418681	-109.217118	168.412525	27.402715	-109.214786	-6473673.386	1624287.649	3611	0	Vent	258	6.3756911763	NotEquant	0	1073.74624962	4.80633587585	75.0	2.0	
254	254	-109.820243	26.022137	-6509561.706	1542454.316	3369	26.033844	-109.821576	26.002435	-109.809964	231.38626	26.065753	-109.832093	-6510264.094	1545039.613	3424	0	Vent	259	8.46310063338	NotEquant	0	1958.24520356	161.619134546	44.0	2.0	
255	255	-109.79886	26.380037	-6508294.243	1563668.73	3381	26.360764	-109.820085	26.392553	-109.787725	336.825051	26.387104	-109.783156	-6507363.367	1564087.624	3394	0	Vent	260	7.557509341	NotEquant	0	2545.55846921	42.3571596667	1.0	2.0	
256	256	-108.781421	28.575329	-6447985.841	1693793.991	3510	28.56321	-108.787655	28.578438	-108.790035	626.059334	28.559268	-108.788274	-6448392.041	1692841.959	3514	0	Vent	261	1.45263812092	Equant	1	909.437654526		1.0	2.0	
257	257	-108.559535	28.701211	-6434833.626	1701255.588	3419	28.678229	-108.566292	28.711542	-108.563318	273.836675	28.690717	-108.574669	-6435730.652	1700633.593	3428	0	Vent	262	7.21982708818	NotEquant	0	1977.0534439	4.47701312779	1.0	2.0	
258	258	-108.598199	28.522846	-6437125.408	1690683.066	3445	28.504033	-108.605784	28.538536	-108.598645	337.401313	28.504215	-108.612619	-6437980.121	1689578.709	3452	0	Vent	263	6.14961613281	NotEquant	0	2074.88855765	10.3020761266	1.0	2.0	
259	259	-108.44789	28.411215	-6428215.904	1684066.159	3403	28.349185	-108.475254	28.416107	-108.446403	94.941688	28.344043	-108.479728	-6430103.044	1680084.548	3416	0	Vent	264	44.6041984995	NotEquant	0	4234.79789743	20.7644177621	1.0	2.0	
260	260	-108.542117	28.197255	-6433801.143	1671383.754	3463	28.199411	-108.545835	28.164463	-108.553271	116.306074	28.199325	-108.549826	-6434258.119	1671506.46	3464	0	Vent	265	18.0885537645	NotEquant	0	2103.80867269	-169.37584884	1.0	2.0	
261	261	-108.557766	27.721114	-6434728.736	1643160.671	3401	27.704878	-108.562136	27.734622	-108.554849	51.340002	27.707623	-108.566475	-6435244.949	1642360.964	3401	0	Vent	266	35.0752683914	NotEquant	0	1800.76434937	12.2347652202	1.0	2.0	
262	262	-107.886573	29.827671	-6394943.983	1768026.179	3152	29.827195	-107.893117	29.823566	-107.891094	81.719106	29.824744	-107.894282	-6395400.959	1767852.698	3156	0	Vent	267	2.91862125831	NotEquant	0	238.507119982	154.190323807	1.0	2.0	
263	263	-107.940044	27.257229	-6398113.473	1615663.977	3331	27.257258	-107.943673	27.24084	-107.947302	162.173575	27.245736	-107.940615	-6398147.323	1614982.745	3333	0	Vent	268	6.10442294896	NotEquant	0	989.976092945	-168.881738647	27.0	2.0	
264	264	-107.789438	26.524217	-6389186.352	1572214.943	3234	26.523711	-107.829592	26.516454	-107.763919	352.821716	26.519292	-107.760456	-6387468.463	1571922.986	3587	0	Vent	269	9.9291178169	NotEquant	0	3503.20838653	97.02552499	1.0	2.0	
265	265	-107.677734	28.588632	-6382565.086	1694582.519	3116	28.602897	-107.678876	28.577318	-107.679708	145.594525	28.567431	-107.691296	-6383369.024	1693325.836	3117	0	Vent	270	10.3990254206	NotEquant	0	1514.04116658	-178.363846032	1.0	2.0	
266	266	-107.846321	29.976223	-6392558.082	1776831.577	3021	29.978868	-107.852762	29.976012	-107.838295	350.127647	29.972012	-107.856172	-6393141.995	1776581.933	3027	0	Vent	271	2.171970455	NotEquant	0	760.466904763	102.834995757	1.0	2.0	
267	267	-107.67832	30.045564	-6382599.86	1780941.735	2938	30.038783	-107.685498	30.046992	-107.678836	88.362454	30.043351	-107.675465	-6382430.609	1780810.566	2938	0	Vent	272	6.7174841853	NotEquant	0	593.573387319	35.0870454947	3.0	2.0	
268	268	-107.655468	30.1075	-6381245.311	1784612.941	2885	30.086545	-107.663321	30.100167	-107.65993	80.406215	30.083015	-107.667032	-6381930.775	1783161.621	2904	0	Vent	273	10.2535661511	NotEquant	0	824.450444464	12.1539164121	1.0	2.0	
269	269	-107.729117	30.906137	-6385610.827	1831951.934	2917	30.865764	-107.796896	30.936576	-107.679398	377.994739	30.916916	-107.730402	-6385686.989	1832590.854	2943	0	Vent	274	19.2846640948	NotEquant	0	7289.5015712	54.8870594018	22.0	2.0	
270	270	-107.458488	29.530865	-6369569.348	1750433.104	2903	29.514361	-107.463841	29.545294	-107.454918	390.421012	29.49653	-107.479903	-6370838.724	1748397.87	2932	0	Vent	275	4.83316706158	NotEquant	0	1886.96997535	14.0874563142	11.0	2.0	
271	271	-107.468227	32.228493	-6370146.639	1910334.156	2692	32.209903	-107.496483	32.236077	-107.453355	307.231716	32.206863	-107.496209	-6371805.291	1909052.086	2720	0	Vent	276	8.64737961759	NotEquant	0	2656.74927881	54.3334910585	1.0	2.0	
272	272	-107.393248	31.471709	-6365702.304	1865476.002	2740	31.448063	-107.409904	31.484944	-107.382838	199.712444	31.488912	-107.371119	-6364390.615	1866495.735	2750	0	Vent	277	12.890387706	NotEquant	0	2574.37083287	32.03762375	1.0	2.0	
273	273	-106.981527	29.847099	-6341297.671	1769177.743	2622	29.826724	-106.986881	29.868068	-106.988666	225.66693	29.847741	-106.989665	-6341780.034	1769215.824	2631	0	Vent	278	10.8474069053	NotEquant	0	2447.90101478	-2.1441340734	14.0	2.0	
274	274	-108.778582	27.028789	-6447817.562	1602123.308	3507	27.02061	-108.835392	27.02983	-108.779772	159.102438	27.021437	-108.792574	-6448646.888	1601687.488	3523	0	Vent	279	18.7416078787	NotEquant	0	2981.83550554	79.4459272741	13.0	2.0	
275	275	-111.770469	24.683772	-6625160.743	1463123.103	3082	24.71475	-111.770138	24.633849	-111.77799	319.297026	24.644296	-111.79374	-6626540.132	1460783.219	3098	0	Vent	281	15.0493797784	NotEquant	0	4805.22220638	-174.958190887	129.0	2.0	
276	276	-111.883998	23.901108	-6631890.153	1416730.958	2914	23.951434	-111.897561	23.843644	-111.871625	391.946596	23.942439	-111.885569	-6631983.241	1419180.854	2926	0	Vent	282	16.6606169101	NotEquant	0	6530.07208516	167.587963999	1.0	2.0	
277	277	-111.689461	21.262468	-6620359.029	1260326.34	2699	21.244979	-111.689699	21.275436	-111.683988	289.135754	21.261188	-111.691469	-6620478.012	1260250.515	2699	0	Vent	283	6.32694740093	NotEquant	0	1829.34670728	9.91125170932	3.0	2.0	
278	278	-117.639311	17.837007	-6973034.568	1057283.171	2041	17.758127	-117.686186	17.929449	-117.563882	281.819085	17.932161	-117.559028	-6968275.817	1062923.434	2491	0	Vent	284	43.4871050385	NotEquant	0	12255.4961512	34.1790658823	1.0	2.0	
279	279	-117.0149	18.528503	-6936022.813	1098271.396	2127	18.433919	-117.081525	18.542898	-117.008	524.18439	18.432967	-117.083837	-6940109.008	1092608.566	2546	0	Vent	285	14.6034055986	NotEquant	0	7654.87725562	32.6014960107	1.0	2.0	
280	280	-99.730759	24.889552	-5911510.582	1475320.638	1741	24.883722	-99.741229	24.883246	-99.711486	183.354381	24.884198	-99.744465	-5912322.983	1475003.294	1832	0	Vent	286	8.70812322706	NotEquant	0	1596.67254397	91.0044216025	1.0	2.0	
281	281	-104.989821	24.528389	-6223239.859	1453912.821	2044	24.533742	-104.990772	24.519466	-104.992914	454.025463	24.52018	-104.996531	-6223637.597	1453426.226	2078	0	Vent	287	1.87763992556	NotEquant	0	852.496336551	-172.226520574	111.0	2.0	
282	282	-103.768131	18.239323	-6150824.602	1081130.368	2231	18.240156	-103.79145	18.218503	-103.733867	183.354381	18.229829	-103.753569	-6149961.426	1080567.611	2235	0	Vent	288	18.9816993738	NotEquant	0	3480.37773901	111.589632064	1.0	1.0	
283	283	-103.674131	16.700993	-6145252.757	989946.3077	3367	16.694449	-103.682459	16.694925	-103.667469	197.961644	16.690071	-103.667849	-6144880.406	989298.9257	3374	0	Vent	290	4.29371568213	NotEquant	0	849.991015303	88.0990793109	1.0	1.0	
284	284	-104.034921	16.920197	-6166638.471	1002939.574	3039	16.933927	-104.072243	16.925551	-103.972496	239.874798	16.916985	-104.034064	-6166587.696	1002749.167	3039	0	Vent	292	23.6274964277	NotEquant	0	5667.64093283	95.001839288	5.0	1.0	
285	285	-101.131117	10.942767	-5994516.364	648629.2332	3626	10.915451	-101.142158	10.940578	-101.130927	287.064307	10.909288	-101.144965	-5995337.228	646644.7746	3604	0	Vent	293	5.65569814557	NotEquant	0	1623.54906876	23.6938819867	1.0	1.0	
286	286	-101.044267	10.820034	-5989368.38	641354.2372	3656	10.808708	-101.033417	10.813657	-101.053404	294.588411	10.815394	-101.058116	-5990189.243	641079.2056	3660	0	Vent	294	4.0663962136	NotEquant	0	1197.91319906	-75.8494870278	4.0	1.0	
287	287	-101.181562	10.437792	-5997506.511	618696.9403	3442	10.450427	-101.296443	10.422944	-101.131903	213.43502	10.418586	-101.144614	-5995316.413	617558.5212	3458	0	Vent	295	45.5001380076	NotEquant	0	9711.32286567	99.6241791029	1.0	1.0	
288	288	-105.428578	-9.332739	-6249247.053	-553195.2668	6831	-9.367039	-105.400833	-9.398448	-105.34444	290.165933	-9.354796	-105.410303	-6248163.852	-554502.7246	6840	0	Vent	296	13.0279559952	NotEquant	0	3780.26900644	119.450139927	16.0	7.0	
289	289	-108.252803	-11.148328	-6416652.174	-660813.7838	6218	-11.150613	-108.252411	-11.118204	-108.21472	274.307326	-11.136693	-108.215113	-6414418.071	-660124.0892	6224	0	Vent	297	10.6063455728	NotEquant	0	2909.3982927	48.773735065	21.0	7.0	
290	290	-104.91103	-12.541784	-6218569.565	-743410.4545	6571						-12.543711	-104.918739	-6219026.541	-743524.6984	6575	1	NoVent	298			0			82.0	7.0	
291	291	-104.760861	-12.348277	-6209668.326	-731940.4012	6612	-12.37778	-104.76514	-12.330762	-104.74382	217.24563	-12.355344	-104.753151	-6209211.351	-732359.2954	6614	0	Vent	299	14.0052805997	NotEquant	0	3042.58600721	23.8929004771	73.0	7.0	
292	292	-104.893509	-11.823072	-6217531.017	-700809.0367	6727						-11.825	-104.894366	-6217581.792	-700923.2806	6727	1	NoVent	300			0			101.0	7.0	
293	293	-104.253003	-10.639281	-6179565.233	-630640.1361	7007						-10.644492	-104.260284	-6179996.821	-630949.0177	7008	1	NoVent	301			0			79.0	7.0	
294	294	-103.320463	-12.796057	-6124289.196	-758482.4266	6906						-12.792417	-103.323747	-6124483.834	-758266.6326	6906	1	NoVent	302			0			65.0	7.0	
295	295	-103.434521	-12.871232	-6131049.923	-762938.3606	6876	-12.870375	-103.452795	-12.881225	-103.454698	502.878909	-12.870589	-103.426668	-6130584.485	-762900.2793	6877	0	Vent	303	1.29509190978	Equant	1	651.274406646		9.0	7.0	
296	296	-103.298217	-11.837422	-6122970.562	-701659.6247	7032						-11.832354	-103.301358	-6123156.737	-701359.2056	7034	1	NoVent	304			0			72.0	7.0	
297	297	-103.41579	-11.41555	-6129939.676	-676653.2551	7167						-11.418334	-103.408937	-6129533.475	-676818.274	7168	1	NoVent	305			0			119.0	7.0	
298	298	-103.41004	-11.603271	-6129598.824	-687780.3849	7052	-11.616079	-103.433279	-11.594307	-103.390449	514.222734	-11.552232	-103.395049	-6128710.26	-684755.0376	7090	0	Vent	306	5.43858881802	NotEquant	0	2796.64601111	62.5775225294	8.0	7.0	
299	299	-104.63256	-11.237385	-6202063.328	-666092.612	6865	-11.235312	-104.662854	-11.236026	-104.656192	299.194906	-11.237885	-104.635701	-6202249.503	-666122.2308	6866	0	Vent	307	1.2998713285	Equant	1	388.914879942		100.0	7.0	
300	300	-103.90161	-13.182907	-6158736.503	-781412.841	6650	-13.18504	-103.920868	-13.181994	-103.909827	290.765184	-13.183692	-103.918028	-6159709.691	-781459.3848	6652	0	Vent	308	2.27359429318	NotEquant	0	661.082062997	74.1812562017	59.0	7.0	
301	301	-103.735568	-13.181331	-6148894.444	-781319.4037	6648	-13.190563	-103.760696	-13.189611	-103.7468	643.636173	-13.183401	-103.729287	-6148522.094	-781442.1101	6650	0	Vent	309	1.24677389517	Equant	1	802.468778486		55.0	7.0	
302	302	-102.848901	-12.554848	-6096337.51	-744184.846	6953	-12.533655	-102.836369	-12.549265	-102.846839	412.713078	-12.551065	-102.839336	-6095770.522	-743960.5895	6964	0	Vent	310	2.67482816089	NotEquant	0	1103.9365634	-146.787572021	55.0	7.0	
303	303	-102.822525	-11.483742	-6094774.067	-680695.3513	7306						-11.481672	-102.816957	-6094444.029	-680572.6449	7308	1	NoVent	311			0			28.0	7.0	
304	304	-102.455652	-11.627571	-6073027.778	-689220.7267	7449						-11.621931	-102.449798	-6072680.815	-688886.4576	7449	1	NoVent	312			0			1.0	7.0	
305	305	-102.085783	-10.737421	-6051103.891	-636457.353	7608	-10.754791	-102.094904	-10.797383	-102.043032	311.012429	-10.731781	-102.059228	-6049529.864	-636123.0839	7615	0	Vent	313	12.6343842427	NotEquant	0	3929.45053225	129.894998579	18.0	7.0	
306	306	-101.697668	-10.608288	-6028098.521	-628803.0425	7870	-10.615776	-101.698749	-10.604354	-101.688755	285.587942	-10.604362	-101.699239	-6028191.609	-628570.3235	7870	0	Vent	315	3.12110265821	NotEquant	0	891.34928493	40.6970647848	172.0	7.0	
307	307	-101.97258	-10.364326	-6044393.857	-614342.2809	7648						-10.363826	-101.97929	-6044791.595	-614312.6621	7648	1	NoVent	316			0			23.0	7.0	
308	308	-101.752287	-10.941459	-6031336.005	-648551.6945	7702						-10.940531	-101.754856	-6031488.33	-648496.6882	7702	1	NoVent	317			0			109.0	7.0	
309	309	-101.031183	-10.840671	-5988592.797	-642577.5194	7680	-10.84434	-101.035779	-10.839272	-101.031424	360.278376	-10.839458	-101.0259	-5988279.684	-642505.5881	7680	0	Vent	318	1.08909203032	Equant	1	392.376308		32.0	7.0	
310	310	-100.899665	-11.575437	-5980797.11	-686130.5482	7500						-11.582076	-100.893526	-5980433.222	-686524.0549	7501	1	NoVent	319			0			41.0	7.0	
311	311	-100.810572	-11.445473	-5975516.146	-678426.9225	7545	-11.436392	-100.815855	-11.450193	-100.808241	519.035856	-11.47267	-100.760318	-5972537.343	-680039.0306	7574	0	Vent	320	1.78849314636	NotEquant	0	928.292071172	151.599237094	114.0	7.0	
312	312	-101.495061	-12.370589	-6016089.065	-733262.9241	7309	-12.312705	-101.574377	-12.367908	-101.466825	209.317673	-12.364379	-101.497203	-6016216.003	-732894.8049	7310	0	Vent	321	33.5484193206	NotEquant	0	7022.27706502	117.729248526	33.0	7.0	
313	313	-103.111857	-8.078416	-6111924.113	-478845.6788	7433	-8.069105	-103.122634	-8.088438	-103.12189	240.702669	-8.074633	-103.120565	-6112440.326	-478621.4223	7435	0	Vent	322	4.75565586636	NotEquant	0	1144.69905988	177.818052333	228.0	7.0	
314	314	-100.148162	-10.122166	-5936251.987	-599988.3183	7540						-10.104677	-100.151874	-5936472.012	-598951.6608	7543	1	NoVent	323			0			22.0	7.0	
315	315	-100.254904	-12.607435	-5942579.134	-747301.9069	7456						-12.598369	-100.253905	-5942519.896	-746764.5375	7458	1	NoVent	324			0			97.0	7.0	
316	316	-100.325374	-11.956391	-5946756.185	-708711.4723	7433	-11.941799	-100.36862	-11.955362	-100.331203	176.865557	-11.950038	-100.346932	-5948034.024	-708334.8906	7442	0	Vent	325	13.0593947324	NotEquant	0	2309.75712342	110.334035991	39.0	7.0	
317	317	-100.612739	-10.349242	-5963789.68	-613448.1736	7628						-10.332324	-100.611597	-5963721.98	-612445.3662	7628	1	NoVent	326			0			23.0	7.0	
318	318	-98.868422	-14.671342	-5860395.829	-869639.3832	7240	-14.667634	-98.894002	-14.671917	-98.884008	336.806594	-14.667559	-98.855859	-5859651.128	-869415.1267	7243	0	Vent	327	1.85760375522	NotEquant	0	625.653193796	113.894522796	25.0	7.0	
319	319	-99.094543	-13.746954	-5873799.051	-814846.5274	7313	-13.738632	-99.110539	-13.744134	-99.105334	354.082421	-13.738402	-99.10525	-5874433.739	-814339.6231	7315	0	Vent	328	1.24861155309	Equant	1	442.111401607		22.0	7.0	
320	320	-99.653307	-11.726664	-5906919.64	-695094.4391	7334	-11.737735	-99.660686	-11.73448	-99.655032	145.211453	-11.715028	-99.652879	-5906894.253	-694404.7445	7339	0	Vent	329	2.6165931968	NotEquant	0	379.959300017	59.5454440681	30.0	7.0	
321	321	-102.402384	-13.479259	-6069870.331	-798979.0164	6893	-13.492332	-102.421232	-13.471512	-102.39476	181.993156	-13.472763	-102.394389	-6069396.43	-798593.9722	6898	0	Vent	330	10.7635864038	NotEquant	0	1958.89905951	51.0379003028	29.0	7.0	
322	322	-102.132598	-14.53191	-6053878.825	-861374.5673	6964						-14.527841	-102.137309	-6054158.088	-861133.3858	6969	1	NoVent	331			0			15.0	7.0	
323	323	-101.628509	-15.63296	-6023999.107	-926639.0049	6915	-15.650847	-101.642176	-15.614965	-101.614737	265.087362	-15.651877	-101.612519	-6023051.306	-927760.2875	6922	0	Vent	332	9.94602881262	NotEquant	0	2636.56654031	36.3721164176	10.0	7.0	
324	324	-100.243306	-15.72178	-5941891.655	-931903.7259	6954						-15.71457	-100.24659	-5942086.293	-931476.3692	6956	1	NoVent	333			0			1.0	7.0	
325	325	-99.169461	-19.874195	-5878239.782	-1178036.889	5423						-19.871125	-99.175171	-5878578.283	-1177854.945	5424	1	NoVent	334			0			51.0	7.0	
326	326	-100.701948	-14.149054	-5969077.492	-838680.8814	7126	-14.155026	-100.721959	-14.14113	-100.703114	201.69475	-14.160547	-100.715368	-5969872.968	-839362.1134	7128	0	Vent	335	6.73432459183	NotEquant	0	1358.27791497	52.7511125482	2.0	7.0	
327	327	-99.731847	-14.061712	-5911575.051	-833503.7274	7563						-14.058214	-99.729848	-5911456.576	-833296.3959	7563	1	NoVent	336			0			237.0	7.0	
328	328	-99.404433	-13.857862	-5892167.714	-821420.5817	7479	-13.866285	-99.422368	-13.858861	-99.401239	167.626303	-13.863335	-99.41043	-5892523.139	-821744.978	7480	0	Vent	337	7.70021981372	NotEquant	0	1290.75937966	70.1070067442	61.0	7.0	
329	329	-99.654419	-15.172909	-5906985.521	-899369.5751	7207						-15.175407	-99.660129	-5907324.022	-899517.669	7210	1	NoVent	338			0			46.0	7.0	
330	330	-99.734628	-15.635655	-5911739.909	-926798.7358	7254	-15.619154	-99.747203	-15.627631	-99.735157	749.149898	-15.636869	-99.731202	-5911536.809	-926870.6671	7255	0	Vent	339	1.13476647309	Equant	1	850.110187568		116.0	7.0	
331	331	-98.833322	-16.203456	-5858315.254	-960454.9505	6732						-16.223229	-98.847599	-5859161.505	-961627.0081	6735	1	NoVent	340			0			49.0	7.0	
332	332	-98.41265	-12.482502	-5833380.089	-739896.5585	6938	-12.466132	-98.411796	-12.473175	-98.412843	268.813299	-12.480861	-98.402514	-5832779.25	-739799.2397	6938	0	Vent	341	1.56643196954	NotEquant	0	421.077745392	-171.741226124	2.0	7.0	
333	333	-98.43544	-14.943808	-5834730.951	-885789.6873	7151	-14.95047	-98.428611	-14.954539	-98.424257	264.335873	-14.949019	-98.418594	-5833732.375	-886098.5689	7158	0	Vent	342	1.30997823027	Equant	1	346.27423911		54.0	7.0	
334	334	-99.180511	-11.317013	-5878894.786	-670812.4983	7265	-11.31505	-99.183797	-11.341105	-99.160598	169.54378	-11.323223	-99.176513	-5878657.836	-671180.6175	7300	0	Vent	343	12.0701778338	NotEquant	0	2046.42357522	138.880027949	51.0	7.0	
335	335	-98.864374	-13.252474	-5860155.854	-785536.4055	7142						-13.246835	-98.862946	-5860071.229	-785202.1364	7143	1	NoVent	344			0			24.0	7.0	
336	336	-99.468547	-13.178709	-5895968.035	-781163.988	7358	-13.179344	-99.505222	-13.190651	-99.505071	317.344121	-13.175782	-99.495245	-5897550.525	-780990.5066	7354	0	Vent	345	2.10829175235	NotEquant	0	669.053992962	179.255069963	1.0	7.0	
337	337	-100.290503	-12.711529	-5944689.259	-753472.0104	7424						-12.714313	-100.308492	-5945755.535	-753637.0294	7427	1	NoVent	346			0			59.0	7.0	
338	338	-100.434522	-11.773655	-5953225.884	-697879.8448	7392						-11.776725	-100.434522	-5953225.884	-698061.7888	7392	1	NoVent	347			0			37.0	7.0	
339	339	-99.967341	-11.640175	-5925533.906	-689967.8512	7411	-11.648626	-99.966931	-11.638917	-99.952463	120.092792	-11.645386	-99.956205	-5924873.83	-690276.7328	7420	0	Vent	348	8.46284058023	NotEquant	0	1016.32615353	55.5838049462	72.0	7.0	
340	340	-95.810399	-17.486578	-5679132.401	-1036511.634	5657						-17.487935	-95.80169	-5678616.188	-1036592.028	5662	1	NoVent	349			0			36.0	7.0	
341	341	-94.825049	-18.26641	-5620726.122	-1082735.935	5177	-18.259549	-94.831454	-18.371979	-94.724021	183.43065	-18.277332	-94.816341	-5620209.909	-1083383.317	5183	0	Vent	350	48.9632506228	NotEquant	0	8981.36088786	137.804272794	7.0	7.0	
342	342	-95.183706	-17.822359	-5641985.408	-1056414.913	5394						-17.816291	-95.175426	-5641494.583	-1056055.256	5401	1	NoVent	351			0			15.0	7.0	
343	343	-102.30461	-12.250759	-6064074.816	-726160.0207	7123	-12.236556	-102.297026	-12.251725	-102.290779	879.083947	-12.261395	-102.308608	-6064311.766	-726790.4777	7125	0	Vent	352	1.10052955179	Equant	1	967.457862177		27.0	7.0	
344	344	-104.219214	-13.872128	-6177562.392	-822266.1679	6729	-13.873392	-104.228732	-13.907745	-104.207019	749.025416	-13.847833	-104.198608	-6176340.969	-820826.1308	6761	0	Vent	353	3.18367385977	NotEquant	0	2384.65263723	148.470509274	105.0	7.0	
345	345	-106.671805	-10.3276	-6322938.992	-612165.3495	6740	-10.335362	-106.678324	-10.339282	-106.660987	389.16509	-10.331669	-106.676659	-6323226.718	-612406.531	6753	0	Vent	354	2.66065191073	NotEquant	0	1035.4328403	102.945430125	127.0	7.0	
346	346	-106.552756	-10.193092	-6315882.41	-604192.4572	6640						-10.190879	-106.550758	-6315763.935	-604061.2883	6640	1	NoVent	355			0			12.0	7.0	
347	347	-106.610035	-10.359383	-6319277.549	-614049.3124	6667	-10.356016	-106.618244	-10.357634	-106.604157	115.944728	-10.354458	-106.619885	-6319861.462	-613757.3558	6682	0	Vent	356	7.11952112535	NotEquant	0	825.470940369	96.6609678841	1.0	7.0	
348	348	-105.129508	-8.335188	-6231519.811	-494065.7589	7010	-8.342699	-105.154545	-8.340076	-105.141351	411.581838	-8.332547	-105.113376	-6230563.548	-493909.2025	7016	0	Vent	357	1.91413658491	NotEquant	0	787.823853802	78.639905388	13.0	7.0	
349	349	-105.792062	-9.858203	-6270792.504	-584342.0082	6785	-9.843908	-105.841342	-9.873948	-105.713446	868.188088	-9.855419	-105.81719	-6272281.906	-584176.9893	6800	0	Vent	358	8.82799841413	NotEquant	0	7664.36306403	103.419907692	52.0	7.0	
350	350	-106.226174	-10.48385	-6296524.352	-621427.0131	6663	-10.514039	-106.23599	-10.477455	-106.228256	553.600418	-10.487633	-106.238452	-6297252.128	-621651.2696	6665	0	Vent	359	3.99353433667	NotEquant	0	2210.82227808	11.7433712645	3.0	7.0	
351	351	-105.152886	-9.284425	-6232905.529	-550331.4654	6903	-9.289003	-105.182655	-9.295787	-105.137276	186.996816	-9.301057	-105.121335	-6231035.314	-551317.3478	6915	0	Vent	361	14.3313646751	NotEquant	0	2679.91956317	98.6175873153	42.0	7.0	
352	352	-107.251741	-10.767439	-6357314.515	-638236.7158	6384	-10.761635	-107.257772	-10.777767	-107.250234	567.805602	-10.769652	-107.244603	-6356891.389	-638367.8847	6383	0	Vent	362	1.84963908308	NotEquant	0	1050.23543305	155.343706095	1.0	7.0	
353	353	-107.421039	-10.935078	-6367349.601	-648173.4187	6444	-10.910593	-107.516958	-10.958777	-107.362412	683.100277	-10.91816	-107.449164	-6369016.715	-647170.6113	6449	0	Vent	363	13.7896646644	NotEquant	0	9419.72375199	107.631529557	86.0	7.0	
354	354	-106.060546	-10.898724	-6286706.764	-646018.5568	6559	-10.90961	-106.085173	-10.899616	-106.051266	647.895921	-10.89494	-106.050409	-6286105.926	-645794.3003	6564	0	Vent	364	3.17454098592	NotEquant	0	2056.77215582	73.2951658201	1.0	7.0	
355	355	-105.298156	-12.607528	-6241516.336	-747307.3836	6416	-12.595951	-105.293882	-12.602804	-105.279986	369.183898	-12.589896	-105.293873	-6241262.461	-746262.2636	6420	0	Vent	365	2.43513043902	NotEquant	0	899.010947616	116.810461488	39.0	7.0	
356	356	-104.806729	-13.561474	-6212387.139	-803852.2633	6127	-13.584959	-104.856182	-13.546055	-104.765881	256.245537	-13.55098	-104.784029	-6211041.6	-803230.2689	6155	0	Vent	366	22.1700476202	NotEquant	0	5680.97575775	66.108165827	23.0	7.0	
357	357	-104.914268	-13.490834	-6218761.515	-799665.0995	6149	-13.499793	-104.95805	-13.490084	-104.898849	653.805814	-13.488335	-104.910699	-6218549.952	-799517.0056	6151	0	Vent	367	5.28309764635	NotEquant	0	3454.11995712	80.4336586898	34.0	7.0	
358	358	-103.466996	-8.118635	-6132974.868	-481229.6538	7319	-8.147117	-103.489727	-8.103335	-103.44071	436.503961	-8.144433	-103.487982	-6134218.857	-482758.8293	7338	0	Vent	368	8.85892021464	NotEquant	0	3866.95376387	47.944869213	161.0	7.0	
359	359	-104.913634	-10.093443	-6218723.941	-598285.7702	6856	-10.062748	-104.945995	-10.134607	-104.87128	442.95402	-10.090373	-104.942045	-6220407.981	-598103.8262	6857	0	Vent	369	13.7355668252	NotEquant	0	6084.22454222	134.337362852	15.0	7.0	
360	360	-103.647939	-12.118694	-6143700.262	-718331.9449	6789	-12.084192	-103.679824	-12.149865	-103.611772	919.860468	-12.120622	-103.621242	-6142117.772	-718446.1888	6794	0	Vent	370	6.01325908286	NotEquant	0	5531.35931417	134.633201339	7.0	7.0	
