	FID	Longitude	Latitude	Elevation	v1_lat	v1_long	v2_lat	v2_long	Width	peak_east	peak_north	peak_elev	noVentInt	noVent	Orientation	Length	AspectRatio	EquantInt	Equant	Prominence	clusterID	clusterName
39	39	-110.373	26.3148	3344	26.3194	-110.372	26.2924	-110.381	189.9	-6.54185e+06	1.55986e+06	3348	0	Vent	18.1047	1675.59	8.82352	0	NotEquant	0	2	Ceraunius
40	40	-109.764	25.5329	3415	25.5358	-109.776	25.5247	-109.76	870.7	-6.50695e+06	1.51359e+06	3423	0	Vent		1078.8	1.23901	1	Equant	0	2	Ceraunius
41	41	-110.11	23.0411	3078	23.0253	-110.119	23.0466	-110.113	320.2	-6.52688e+06	1.36452e+06	3088	0	Vent	12.7435	1291.84	4.03448	0	NotEquant	0	2	Ceraunius
42	42	-110.172	22.5512	2919	22.5516	-110.187	22.551	-110.176	285.2	-6.53029e+06	1.33623e+06	2940	0	Vent	-86.5203	579.68	2.03254	0	NotEquant	0	2	Ceraunius
43	43	-110.422	23.7376	3086	23.7245	-110.436	23.7367	-110.42	483.8	-6.54624e+06	1.40614e+06	3104	0	Vent	50.0438	1118.08	2.31104	0	NotEquant	0	2	Ceraunius
44	44	-110.825	24.3524	3071	24.2617	-110.851	24.4334	-110.804	218.7	-6.56989e+06	1.44416e+06	3074	0	Vent	13.8824	10470.9	47.8781	0	NotEquant	0	2	Ceraunius
45	45	-110.632	25.5543	3314	25.5766	-110.651	25.5332	-110.63	322.9	-6.5584e+06	1.5154e+06	3321	0	Vent	-24.0476	2805.69	8.68905	0	NotEquant	0	2	Ceraunius
46	46	-109.821	27.0378	3529	27.0206	-109.839	27.0727	-109.798	256.7	-6.50929e+06	1.60346e+06	3535	0	Vent	34.8069	3755.44	14.6297	0	NotEquant	0	2	Ceraunius
47	47	-110.191	27.7464	3716	27.7365	-110.199	27.7546	-110.185	244.4	-6.53202e+06	1.64413e+06	3709	0	Vent	33.1061	1277.38	5.22658	0	NotEquant	0	2	Ceraunius
48	48	-109.802	24.6807	3114	24.7268	-109.817	24.6383	-109.8	234.4	-6.50807e+06	1.46535e+06	3123	0	Vent	-9.97783	5317.57	22.6859	0	NotEquant	0	2	Ceraunius
49	49	-109.62	24.3058	3153	24.3097	-109.622	24.2927	-109.623	296.2	-6.49773e+06	1.44086e+06	3153	0	Vent	2.77204	1009.14	3.40697	0	NotEquant	0	2	Ceraunius
50	50	-109.698	23.6347	3141	23.6673	-109.696	23.5823	-109.704	832.2	-6.50192e+06	1.40105e+06	3175	0	Vent	4.83018	5048.86	6.06688	0	NotEquant	0	2	Ceraunius
51	51	-113.042	27.6271	2862	27.6166	-113.088	27.6222	-113.023	242.3	-6.70324e+06	1.63728e+06	2870	0	Vent	84.4256	3406.68	14.0598	0	NotEquant	0	2	Ceraunius
