FID	Longitude	Latitude	Easting	Northing	Elevation	v1_lat	v1_long	v2_lat	v2_long	Width	peak_lat	peak_long	peak_east	peak_north	peak_elev	noVentInt	noVent	FID2017
144	-110.038561	-1.019397	-6522502.396	-60424.4783	6002	-1.024989	-110.062355	-1.026417	-110.027139	544.154667	-1.011731	-110.058006	-6523654.99	-59970.04152	6092	0	"Vent"	146
145	-110.890466	-5.443565	-6572998.815	-322665.6595	6903	-5.439163	-110.928061	-5.453202	-110.841687	277.282645	-5.449061	-110.870193	-6571797.139	-322991.4662	6922	0	"Vent"	147
146	-111.037303	-5.429341	-6581702.543	-321822.518	6911	-5.424701	-111.066332	-5.428984	-111.020647	247.728243	-5.432838	-111.043156	-6582049.506	-322029.8495	6922	0	"Vent"	148
147	-110.884577	-2.782358	-6572649.739	-164923.4419	6683	-2.784416	-110.886001	-2.781789	-110.880518	51.340002	-2.791778	-110.878552	-6572292.622	-165481.7983	6686	0	"Vent"	149
148	-110.335751	-2.271816	-6540118.275	-134661.2348	6436	-2.270452	-110.351498	-2.284134	-110.33157	352.604578	-2.269853	-110.339463	-6540338.3	-134544.8753	6441	0	"Vent"	150
149	-110.202361	-2.11145	-6532211.616	-125155.537	6328	-2.113903	-110.223776	-2.115837	-110.191802	877.298331	-2.121943	-110.2085	-6532575.504	-125777.5315	6390	0	"Vent"	151
150	-109.562396	-2.506866	-6494277.908	-148593.751	6400	-2.521069	-109.568791	-2.505008	-109.56195	491.121348	-2.527782	-109.572676	-6494887.209	-149833.5087	6408	0	"Vent"	152
151	-109.273112	-2.494631	-6477130.68	-147868.4906	6360	-2.503033	-109.28724	-2.492772	-109.270882	593.046939	-2.504696	-109.261405	-6476436.754	-148465.0976	6418	0	"Vent"	153
152	-110.401299	-4.263288	-6544003.624	-252705.0874	6724	-4.262544	-110.407306	-4.264031	-110.400613	147.251995	-4.270355	-110.347619	-6540821.72	-253123.9816	6744	0	"Vent"	154
153	-112.580738	-4.96007	-6673189.17	-294006.6615	7368	-4.975611	-112.589809	-4.95256	-112.578061	521.330371	-4.97242	-112.589589	-6673713.846	-294738.6686	7375	0	"Vent"	155
154	-109.883339	-7.294593	-6513301.656	-432384.799	7119	-7.314149	-109.887056	-7.291396	-109.889436	457.951772	-7.301089	-109.856213	-6511693.779	-432769.8432	7135	0	"Vent"	156
155	-110.021684	-6.872641	-6521502.018	-407373.6963	6903	-6.867361	-110.032986	-6.892048	-110.021386	436.147776	-6.885989	-110.011404	-6520892.717	-408164.9409	6907	0	"Vent"	157
156	-106.729315	-3.652715	-6326347.837	-216513.6016	6144	-3.649369	-106.734371	-3.65859	-106.732586	410.356597	-3.659211	-106.736881	-6326796.35	-216898.6458	6146	0	"Vent"	158
157	-106.775719	-3.533248	-6329098.451	-209432.2349	6117	-3.509974	-106.798175	-3.58463	-106.765755	476.264245	-3.504052	-106.80827	-6331027.903	-207701.6516	6139	0	"Vent"	159
158	-106.434103	-3.082039	-6308849.254	-182686.9078	5885	-3.089775	-106.441586	-3.079686	-106.425977	767.642114	-3.091913	-106.432247	-6308739.241	-183272.2314	5890	0	"Vent"	160
159	-109.662808	-4.086134	-6500229.773	-242204.3581	6541	-4.087562	-109.683105	-4.096627	-109.645771	256.700008	-4.089204	-109.691076	-6501905.35	-242386.3021	6550	0	"Vent"	161
160	-109.776908	-4.214229	-6506992.989	-249797.1579	6600	-4.227733	-109.81877	-4.213599	-109.75481	120.712363	-4.222153	-109.769055	-6506527.551	-250266.8272	6604	0	"Vent"	162
161	-109.74539	-4.950949	-6505124.802	-293466.0222	6661	-4.953779	-109.787327	-4.95435	-109.717085	331.448304	-4.956303	-109.722262	-6503753.876	-293783.3663	6674	0	"Vent"	163
162	-109.604278	-5.174078	-6496760.421	-306691.9349	6755	-5.168653	-109.619506	-5.193209	-109.598377	274.307326	-5.175851	-109.605991	-6496861.971	-306797.0111	6755	0	"Vent"	164
163	-109.762223	-5.419413	-6506122.584	-321234.0701	6741	-5.426361	-109.775739	-5.425409	-109.758987	177.567129	-5.426254	-109.760748	-6506035.138	-321639.5654	6743	0	"Vent"	165
164	-109.454212	-5.69734	-6487865.305	-337708.0802	6808	-5.70393	-109.462785	-5.706547	-109.456836	335.252606	-5.699552	-109.442422	-6487166.442	-337839.2491	6815	0	"Vent"	166
165	-108.64272	-3.273449	-6439764.362	-194032.6817	6308	-3.297506	-108.712372	-3.274752	-108.635634	180.75929	-3.269951	-108.629157	-6438960.423	-193825.3502	6317	0	"Vent"	167
166	-108.316431	-4.967113	-6420423.709	-294424.1352	6541	-4.958704	-108.341979	-4.971368	-108.308962	220.377862	-4.972096	-108.306752	-6419849.951	-294719.4768	6550	0	"Vent"	169
167	-109.234929	-5.074114	-6474867.398	-300766.5789	6734	-5.091524	-109.253447	-5.07115	-109.232478	224.742203	-5.082823	-109.278093	-6477425.896	-301282.792	6744	0	"Vent"	170
168	-109.605604	-1.245605	-6496839.018	-73832.87618	6059	-1.256982	-109.614676	-1.222034	-109.590732	213.209175	-1.269376	-109.612885	-6497270.606	-75241.88408	6064	0	"Vent"	171
169	-109.220348	-1.404488	-6474003.092	-83250.61221	6165	-1.408665	-109.214564	-1.394091	-109.207723	745.124893	-1.409985	-109.206785	-6473199.153	-83576.41884	6167	0	"Vent"	172
170	-109.189314	-3.297425	-6472163.549	-195453.8902	6392	-3.301961	-109.244934	-3.322335	-109.11912	212.296069	-3.301351	-109.106651	-6467263.756	-195686.6092	6405	0	"Vent"	173
171	-109.412234	-3.085482	-6485377.076	-182891.0265	6384	-3.08169	-109.423536	-3.109946	-109.406285	126.213232	-3.089123	-109.41666	-6485639.414	-183106.8205	6388	0	"Vent"	174
172	-109.192623	-3.803535	-6472359.683	-225453.4015	6433	-3.780707	-109.183402	-3.838112	-109.21032	563.960683	-3.838727	-109.200047	-6472799.734	-227539.4102	6446	0	"Vent"	175
173	-109.072598	-4.320791	-6465245.23	-256113.5798	6642	-4.319378	-109.083156	-4.332763	-109.071259	430.499001	-4.339565	-109.12071	-6468097.096	-257226.3998	6666	0	"Vent"	176
174	-109.031585	-3.305535	-6462814.194	-195934.5708	6361	-3.304806	-109.066473	-3.309565	-108.973199	167.718991	-3.308319	-108.964769	-6458853.739	-196099.5897	6372	0	"Vent"	177
175	-107.828783	-0.930527	-6391518.519	-55156.69609	5962	-0.946826	-107.858051	-0.929932	-107.817362	789.432751	-0.933882	-107.785382	-6388945.916	-55355.56508	5973	0	"Vent"	178
176	-107.810214	-1.208704	-6390417.85	-71645.56241	5907	-1.239065	-107.843363	-1.183386	-107.787446	162.542679	-1.2379	-107.838482	-6392093.427	-73376.14568	5916	0	"Vent"	179
177	-108.081607	-1.554372	-6406504.549	-92134.93672	5953	-1.571326	-108.09862	-1.542891	-108.055195	162.542679	-1.55116	-108.066331	-6405599.06	-91944.53025	5956	0	"Vent"	180
178	-108.060274	-0.508864	-6405240.034	-30162.73253	5883	-0.513948	-108.066985	-0.497006	-108.03805	227.491446	-0.504937	-108.043284	-6404232.995	-29930.0135	5886	0	"Vent"	181
179	-129.921277	14.742652	-7701044.376	873866.2198	470	14.740724	-129.944856	14.732158	-129.884894	273.410691	14.730017	-129.880445	-7698624.099	873117.2876	483	0	"Vent"	183
180	-128.785943	15.827868	-7633747.83	938192.1097	772	15.827083	-128.81364	15.83465	-128.718271	220.377862	15.83879	-128.71513	-7629550.425	938839.4917	790	0	"Vent"	184
181	-128.380777	16.173783	-7609731.716	958696.1178	906	16.173141	-128.388486	16.205549	-128.35822	199.852468	16.20712	-128.347512	-7607759.952	960672.1139	924	0	"Vent"	185
182	-129.786068	15.098795	-7693029.946	894976.4842	480	15.104719	-129.831897	15.077165	-129.750376	284.825065	15.105005	-129.801345	-7693935.435	895344.6034	490	0	"Vent"	186
183	-123.937176	18.727109	-7346338.648	1110043.72	601	18.7416	-123.98329	18.714474	-123.917617	158.916736	18.72244	-123.917343	-7345163.036	1109766.996	604	0	"Vent"	187
184	-101.326931	2.118165	-6006123.179	125553.608	4820	2.039001	-101.428296	2.180579	-101.256975	1871.46354	2.129373	-101.269871	-6002740.996	126217.915	4984	0	"Vent"	188
185	-100.398213	2.454704	-5951073.716	145501.8458	4705	2.490277	-100.394763	2.413183	-100.406898	478.945539	2.487612	-100.400783	-5951226.041	147452.4543	4730	0	"Vent"	189
186	-98.587336	2.339793	-5843734.531	138690.5206	4319	2.329978	-98.6216	2.35746	-98.564493	438.457803	2.347431	-98.542222	-5841060.378	139143.2649	4327	0	"Vent"	190
187	-97.318289	3.682891	-5768512.163	218302.2369	4032	3.64595	-97.325071	3.706983	-97.313292	459.909114	3.729504	-97.299872	-5767420.499	221065.2464	4044	0	"Vent"	192
188	-100.729781	10.568848	-5970727.298	626465.2875	3549	10.552965	-100.790814	10.567956	-100.669105	310.537353	10.566064	-100.745914	-5971683.562	626300.2686	3552	0	"Vent"	193
189	-100.835959	10.478922	-5977020.992	621134.9144	3493	10.471248	-100.852021	10.474817	-100.821326	205.790919	10.478993	-100.82311	-5976259.366	621139.1457	3498	0	"Vent"	194
190	-100.976808	10.636022	-5985369.769	630447.012	3528	10.620853	-101.008574	10.636915	-100.956107	543.114075	10.643946	-100.948826	-5983711.117	630916.6813	3551	0	"Vent"	195
191	-99.769841	11.035817	-5913827.171	654144.695	3575	11.027429	-99.783404	11.039564	-99.761632	379.766753	11.034746	-99.761418	-5913327.883	654081.2262	3576	0	"Vent"	196
192	-99.667997	11.504952	-5907790.363	681952.5452	3554	11.506069	-99.676503	11.493791	-99.673504	538.876823	11.504452	-99.682987	-5908678.926	681922.9264	3559	0	"Vent"	197
193	-100.034204	10.938306	-5929497.183	648364.7723	3568	10.921531	-100.044626	10.946943	-100.031206	319.5403	10.941328	-100.033829	-5929474.969	648543.8954	3568	0	"Vent"	198
194	-100.64389	11.777174	-5965636.139	698088.4414	3791	11.770107	-100.652171	11.773391	-100.64232	230.713624	11.76868	-100.644033	-5965644.601	697584.922	3793	0	"Vent"	199
195	-100.63612	11.958636	-5965175.551	708844.5162	3786	11.949713	-100.643829	11.951854	-100.630837	143.499667	11.948828	-100.659419	-5966556.633	708263.1418	3792	0	"Vent"	200
196	-101.023947	12.858949	-5988163.908	762210.3095	4516	12.843887	-101.031228	12.854452	-101.028944	258.058618	12.855166	-101.03594	-5988874.758	761986.053	4525	0	"Vent"	201
197	-100.198032	13.094063	-5939208.055	776146.6471	4042	13.086996	-100.204457	13.09185	-100.195891	166.323247	13.096847	-100.20617	-5939690.418	776311.666	4046	0	"Vent"	202
198	-99.063488	13.07782	-5871958.278	775183.8089	3668	13.061758	-99.076337	13.072751	-99.066486	301.523306	13.066327	-99.058348	-5871653.627	774502.5769	3671	0	"Vent"	203
