FID	Longitude	Latitude	Easting	Northing	Elevation	v1_lat	v1_long	v2_lat	v2_long	Width	peak_lat	peak_long	peak_east	peak_north	peak_elev	noVentInt	noVent	FID2017
33	-108.8601	28.436337	-6452649.485	1685555.289	3557	28.413954	-108.856475	28.453691	-108.87908	243.16937	28.433696	-108.877232	-6453664.986	1685398.733	3562	0	"Vent"	33
34	-109.907427	30.067839	-6514729.518	1782262.062	3581	30.061017	-109.912234	30.074152	-109.909322	530.221624	30.058431	-109.925416	-6515795.794	1781704.383	3680	0	"Vent"	34
35	-109.801449	29.533609	-6508447.65	1750595.755	3802	29.501939	-109.832001	29.546435	-109.794286	409.992859	29.557451	-109.780019	-6507177.427	1752008.994	3845	0	"Vent"	35
36	-109.48695	28.461896	-6489805.815	1687070.271	3505	28.494673	-109.516931	28.466833	-109.486474	209.673756	28.502513	-109.511648	-6491269.829	1689477.855	3519	0	"Vent"	36
37	-109.861137	27.838386	-6511985.677	1650111.934	3685	27.851243	-109.886611	27.827925	-109.835453	508.240086	27.847595	-109.885836	-6513449.692	1650657.766	3714	0	"Vent"	37
38	-110.278994	26.667064	-6536754.01	1580682.171	3458	26.667585	-110.288958	26.66119	-110.275722	605.536128	26.652002	-110.278708	-6536737.085	1579789.376	3467	0	"Vent"	39
39	-110.372571	26.314832	-6542300.741	1559803.721	3344	26.319368	-110.371678	26.29245	-110.381494	189.883377	26.31576	-110.365004	-6541852.228	1559858.727	3348	0	"Vent"	40
40	-109.763612	25.532929	-6506204.876	1513456.63	3415	25.535763	-109.776493	25.524699	-109.760432	870.72629	25.535142	-109.776175	-6506949.576	1513587.799	3423	0	"Vent"	41
41	-110.110312	23.041068	-6526755.455	1365752.349	3078	23.025304	-110.118521	23.0466	-110.113287	320.15253	23.020296	-110.112454	-6526882.393	1364521.053	3088	0	"Vent"	42
42	-110.172318	22.551214	-6530430.823	1336716.398	2919	22.551631	-110.187071	22.551036	-110.176482	285.239451	22.543005	-110.169891	-6530286.961	1336229.803	2940	0	"Vent"	43
43	-110.422014	23.737572	-6545231.471	1407037.429	3086	23.724545	-110.435815	23.73668	-110.419991	483.775538	23.722368	-110.439003	-6546238.51	1406136.171	3104	0	"Vent"	44
44	-110.824862	24.352369	-6569110.145	1443479.319	3071	24.261652	-110.850798	24.433449	-110.80416	218.728552	24.363856	-110.838079	-6569893.633	1444160.199	3074	0	"Vent"	45
45	-110.631693	25.554308	-6557660.125	1514723.889	3314	25.576556	-110.651204	25.53325	-110.629789	322.936518	25.565658	-110.644256	-6558404.826	1515396.658	3321	0	"Vent"	46
46	-109.82112	27.037823	-6509613.651	1602658.786	3529	27.020572	-109.838728	27.072682	-109.798039	256.700008	27.051362	-109.815599	-6509286.434	1603461.314	3535	0	"Vent"	47
47	-110.190665	27.746379	-6531518.359	1644658.201	3716	27.736504	-110.198518	27.754588	-110.185193	244.393385	27.737456	-110.199089	-6532017.647	1644129.294	3709	0	"Vent"	48
48	-109.802424	24.680684	-6508505.487	1462940.088	3114	24.726806	-109.817092	24.63829	-109.79996	234.422386	24.721302	-109.795096	-6508071.078	1465347.672	3123	0	"Vent"	49
49	-109.619677	24.305841	-6497673.184	1440721.4	3153	24.309721	-109.621821	24.292685	-109.622726	296.187846	24.308197	-109.620676	-6497732.422	1440861.032	3153	0	"Vent"	50
50	-109.69773	23.634677	-6502299.769	1400938.314	3141	23.667317	-109.696222	23.582287	-109.704062	832.176686	23.636485	-109.691317	-6501919.661	1401045.506	3175	0	"Vent"	51
51	-113.042142	27.62705	-6700538.75	1637585.033	2862	27.616572	-113.087973	27.62215	-113.023296	242.349926	27.621922	-113.087762	-6703242.875	1637281.087	2870	0	"Vent"	52
52	-113.143873	27.589326	-6706568.877	1635348.951	2905	27.575983	-113.158045	27.584878	-113.143873	176.865557	27.573122	-113.153439	-6707135.865	1634388.456	2917	0	"Vent"	53
53	-112.629958	26.893246	-6676106.717	1594089.029	2910	26.871913	-112.668252	26.903724	-112.588649	366.708762	26.901741	-112.597693	-6674194.189	1594592.549	2920	0	"Vent"	54
54	-112.219854	25.989424	-6651797.911	1540515.254	3031	25.957349	-112.319752	26.010173	-112.1984	258.63011	25.988496	-112.198867	-6650553.922	1540460.247	3037	0	"Vent"	55
55	-111.812617	25.747662	-6627659.031	1526184.859	3113	25.76176	-111.824752	25.727853	-111.811189	276.564295	25.745592	-111.80919	-6627455.931	1526062.152	3114	0	"Vent"	56
56	-114.020603	28.355341	-6758536.731	1680754.248	2643	28.334461	-114.05915	28.381217	-113.970277	356.880429	28.363764	-114.019603	-6758477.494	1681253.536	2704	0	"Vent"	57
57	-114.227851	27.770551	-6770821.302	1646091.002	2628	27.750861	-114.234677	27.79384	-114.225308	266.956831	27.752848	-114.22885	-6770880.539	1645041.65	2630	0	"Vent"	58
58	-113.199347	25.432665	-6709857.055	1507513.551	2844	25.387381	-113.210203	25.494308	-113.189532	337.470398	25.456579	-113.198348	-6709797.817	1508931.021	2879	0	"Vent"	59
59	-106.807257	3.14738	-6330967.871	186560.0002	5828	3.122767	-106.816478	3.15489	-106.809191	321.62486	3.136661	-106.8069	-6330946.714	185924.6067	5836	0	"Vent"	60
60	-106.766522	2.720868	-6328553.273	161278.6368	5762	2.707409	-106.770983	2.72124	-106.768752	163.572044	2.714372	-106.771376	-6328840.999	160893.5926	5762	0	"Vent"	61
61	-106.640085	2.417064	-6321058.785	143270.7536	5713	2.409703	-106.653321	2.413569	-106.633542	188.173273	2.410069	-106.658794	-6322167.726	142856.0906	5718	0	"Vent"	62
62	-106.899013	2.233286	-6336406.653	132377.3565	5621	2.213879	-106.909423	2.240201	-106.896782	375.949905	2.229788	-106.89473	-6336152.777	132170.025	5625	0	"Vent"	63
